PRDO,Date
21.063669204711914,2002-07-09
19.950408935546875,2002-07-10
19.60220718383789,2002-07-11
19.062742233276367,2002-07-12
18.63607406616211,2002-07-15
17.5522403717041,2002-07-16
17.562047958374023,2002-07-17
17.964197158813477,2002-07-18
17.26289176940918,2002-07-19
16.30656623840332,2002-07-22
18.685115814208984,2002-07-23
19.50902557373047,2002-07-24
20.401596069335938,2002-07-25
20.764511108398438,2002-07-26
21.818920135498047,2002-07-29
21.696313858032227,2002-07-30
21.64727020263672,2002-07-31
21.946430206298828,2002-08-01
21.053857803344727,2002-08-02
20.28389549255371,2002-08-05
20.578149795532227,2002-08-06
20.896923065185547,2002-08-07
21.505048751831055,2002-08-08
21.62274932861328,2002-08-09
21.480527877807617,2002-08-12
21.259836196899414,2002-08-13
21.75516700744629,2002-08-14
23.049882888793945,2002-08-15
22.66735076904297,2002-08-16
22.85371208190918,2002-08-19
22.711490631103516,2002-08-20
22.54474639892578,2002-08-21
22.41233253479004,2002-08-22
21.867961883544922,2002-08-23
21.872865676879883,2002-08-26
20.573246002197266,2002-08-27
20.3770751953125,2002-08-28
22.088651657104492,2002-08-29
21.867961883544922,2002-08-30
21.701217651367188,2002-09-03
22.559457778930664,2002-09-04
22.07394027709961,2002-09-05
22.279918670654297,2002-09-06
22.79486083984375,2002-09-09
23.04497718811035,2002-09-10
22.64282989501953,2002-09-11
21.88758087158203,2002-09-12
22.06903648376465,2002-09-13
21.995473861694336,2002-09-16
21.88758087158203,2002-09-17
22.373096466064453,2002-09-18
21.990568161010742,2002-09-19
22.407426834106445,2002-09-20
22.093557357788086,2002-09-23
22.284820556640625,2002-09-24
22.657543182373047,2002-09-25
23.481454849243164,2002-09-26
22.922372817993164,2002-09-27
23.540306091308594,2002-09-30
25.031192779541016,2002-10-01
24.30536460876465,2002-10-02
23.707048416137695,2002-10-03
22.309345245361328,2002-10-04
22.47608757019043,2002-10-07
23.025362014770508,2002-10-08
22.686969757080078,2002-10-09
23.432411193847656,2002-10-10
23.589345932006836,2002-10-11
24.1239070892334,2002-10-14
24.423065185546875,2002-10-15
24.751649856567383,2002-10-16
24.996862411499023,2002-10-17
24.506439208984375,2002-10-18
25.693262100219727,2002-10-21
21.57370948791504,2002-10-22
21.877771377563477,2002-10-23
22.098461151123047,2002-10-24
22.657543182373047,2002-10-25
22.3632869720459,2002-10-28
21.637462615966797,2002-10-29
20.9361572265625,2002-10-30
19.670867919921875,2002-10-31
20.828266143798828,2002-11-01
19.278528213500977,2002-11-04
19.59730339050293,2002-11-05
