TRIN,Date
13.175765037536621,2023-07-05
13.022872924804688,2023-07-06
12.986898422241211,2023-07-07
13.031867027282715,2023-07-10
13.085829734802246,2023-07-11
12.995891571044922,2023-07-12
13.39161491394043,2023-07-13
13.23872184753418,2023-07-14
13.454571723937988,2023-07-17
13.481552124023438,2023-07-18
13.47255802154541,2023-07-19
13.283690452575684,2023-07-20
13.355640411376953,2023-07-21
13.265703201293945,2023-07-24
13.310672760009766,2023-07-25
13.292684555053711,2023-07-26
13.148784637451172,2023-07-27
13.13079833984375,2023-07-28
13.13079833984375,2023-07-31
13.112810134887695,2023-08-01
13.490546226501465,2023-08-02
13.751362800598145,2023-08-03
12.69909954071045,2023-08-04
12.744068145751953,2023-08-07
12.717087745666504,2023-08-08
12.636144638061523,2023-08-09
12.86998176574707,2023-08-10
12.941930770874023,2023-08-11
12.878973960876465,2023-08-14
12.75306224822998,2023-08-15
12.573187828063965,2023-08-16
12.905956268310547,2023-08-17
12.860987663269043,2023-08-18
12.905956268310547,2023-08-21
12.744068145751953,2023-08-22
13.067841529846191,2023-08-23
12.834006309509277,2023-08-24
12.923942565917969,2023-08-25
13.022872924804688,2023-08-28
13.112810134887695,2023-08-29
13.031867027282715,2023-08-30
13.175765037536621,2023-08-31
13.085829734802246,2023-09-01
12.86998176574707,2023-09-05
12.798030853271484,2023-09-06
12.807024002075195,2023-09-07
12.82501220703125,2023-09-08
12.887968063354492,2023-09-11
12.816018104553223,2023-09-12
12.89696216583252,2023-09-13
13.24771499633789,2023-09-14
13.292684555053711,2023-09-15
13.40060806274414,2023-09-18
13.40060806274414,2023-09-19
13.256709098815918,2023-09-20
12.914948463439941,2023-09-21
13.040861129760742,2023-09-22
13.067841529846191,2023-09-25
12.86998176574707,2023-09-26
12.932936668395996,2023-09-27
13.22261905670166,2023-09-28
13.00769329071045,2023-09-29
12.811457633972168,2023-10-02
12.456361770629883,2023-10-03
12.615220069885254,2023-10-04
12.512429237365723,2023-10-05
12.70866584777832,2023-10-06
12.65259838104248,2023-10-09
12.718009948730469,2023-10-10
12.876869201660156,2023-10-11
13.101140022277832,2023-10-12
12.970314979553223,2023-10-13
13.175896644592285,2023-10-16
13.073105812072754,2023-10-17
12.830145835876465,2023-10-18
12.624564170837402,2023-10-19
12.755388259887695,2023-10-20
12.475050926208496,2023-10-23
12.727355003356934,2023-10-24
12.587185859680176,2023-10-25
12.65259838104248,2023-10-26
12.531118392944336,2023-10-27
12.70866584777832,2023-10-30
12.830145835876465,2023-10-31
