QRVO,Date
105.3499984741211,2020-02-10
108.58999633789062,2020-02-11
111.7300033569336,2020-02-12
109.16999816894531,2020-02-13
106.0199966430664,2020-02-14
103.2300033569336,2020-02-18
104.23999786376953,2020-02-19
101.55999755859375,2020-02-20
98.19000244140625,2020-02-21
96.33999633789062,2020-02-24
96.5999984741211,2020-02-25
96.12999725341797,2020-02-26
94.80000305175781,2020-02-27
100.58000183105469,2020-02-28
100.44000244140625,2020-03-02
98.30000305175781,2020-03-03
102.37999725341797,2020-03-04
97.30000305175781,2020-03-05
94.36000061035156,2020-03-06
89.94999694824219,2020-03-09
96.0,2020-03-10
89.2699966430664,2020-03-11
76.81999969482422,2020-03-12
83.80000305175781,2020-03-13
70.69999694824219,2020-03-16
79.87999725341797,2020-03-17
73.0199966430664,2020-03-18
73.8499984741211,2020-03-19
70.8499984741211,2020-03-20
69.36000061035156,2020-03-23
78.79000091552734,2020-03-24
77.73999786376953,2020-03-25
83.48999786376953,2020-03-26
80.69000244140625,2020-03-27
81.4800033569336,2020-03-30
80.62999725341797,2020-03-31
74.58000183105469,2020-04-01
76.66000366210938,2020-04-02
73.44000244140625,2020-04-03
82.61000061035156,2020-04-06
81.8499984741211,2020-04-07
87.0199966430664,2020-04-08
83.11000061035156,2020-04-09
84.7300033569336,2020-04-13
89.83000183105469,2020-04-14
84.55999755859375,2020-04-15
86.81999969482422,2020-04-16
86.2699966430664,2020-04-17
84.7699966430664,2020-04-20
81.18000030517578,2020-04-21
86.58000183105469,2020-04-22
85.94999694824219,2020-04-23
89.88999938964844,2020-04-24
91.27999877929688,2020-04-27
93.13999938964844,2020-04-28
99.38999938964844,2020-04-29
98.02999877929688,2020-04-30
93.1500015258789,2020-05-01
94.13999938964844,2020-05-04
97.70999908447266,2020-05-05
98.30000305175781,2020-05-06
100.81999969482422,2020-05-07
103.0,2020-05-08
101.9000015258789,2020-05-11
100.66999816894531,2020-05-12
97.33000183105469,2020-05-13
98.80999755859375,2020-05-14
94.70999908447266,2020-05-15
99.04000091552734,2020-05-18
98.33000183105469,2020-05-19
103.33000183105469,2020-05-20
98.97000122070312,2020-05-21
101.54000091552734,2020-05-22
103.20999908447266,2020-05-26
105.68000030517578,2020-05-27
100.7699966430664,2020-05-28
104.73999786376953,2020-05-29
104.58000183105469,2020-06-01
109.68000030517578,2020-06-02
112.98999786376953,2020-06-03
113.4000015258789,2020-06-04
115.66999816894531,2020-06-05
117.55999755859375,2020-06-08
115.52999877929688,2020-06-09
114.87000274658203,2020-06-10
107.38999938964844,2020-06-11
108.9000015258789,2020-06-12
109.72000122070312,2020-06-15
112.58000183105469,2020-06-16
112.63999938964844,2020-06-17
111.25,2020-06-18
111.80000305175781,2020-06-19
112.25,2020-06-22
111.91999816894531,2020-06-23
108.5199966430664,2020-06-24
108.97000122070312,2020-06-25
107.37000274658203,2020-06-26
107.43000030517578,2020-06-29
110.52999877929688,2020-06-30
108.26000213623047,2020-07-01
110.30000305175781,2020-07-02
113.62999725341797,2020-07-06
113.0199966430664,2020-07-07
113.02999877929688,2020-07-08
113.11000061035156,2020-07-09
112.01000213623047,2020-07-10
110.88999938964844,2020-07-13
112.62000274658203,2020-07-14
112.83999633789062,2020-07-15
111.68000030517578,2020-07-16
113.9800033569336,2020-07-17
116.38999938964844,2020-07-20
116.73999786376953,2020-07-21
118.43000030517578,2020-07-22
