TT,Date
0.9888814687728882,1984-01-18
0.9799728989601135,1984-01-19
0.9732913374900818,1984-01-20
0.9465649127960205,1984-01-23
0.9465649127960205,1984-01-24
0.9532462358474731,1984-01-25
0.9443371295928955,1984-01-26
0.9376553893089294,1984-01-27
0.9354287385940552,1984-01-30
0.9443371295928955,1984-01-31
0.9354287385940552,1984-02-01
0.9332016110420227,1984-02-02
0.922065019607544,1984-02-03
0.8931110501289368,1984-02-06
0.8752937316894531,1984-02-07
0.8463400602340698,1984-02-08
0.8352043628692627,1984-02-09
0.8418859839439392,1984-02-10
0.8491120934486389,1984-02-13
0.8581449389457703,1984-02-14
0.8445958495140076,1984-02-15
0.8400793671607971,1984-02-16
0.8400793671607971,1984-02-17
0.8310460448265076,1984-02-21
0.8220121264457703,1984-02-22
0.8220121264457703,1984-02-23
0.867178201675415,1984-02-24
0.8784699440002441,1984-02-27
0.8626619577407837,1984-02-28
0.8581449389457703,1984-02-29
0.8626619577407837,1984-03-01
0.8626619577407837,1984-03-02
0.8581449389457703,1984-03-05
0.8604035377502441,1984-03-06
0.8581449389457703,1984-03-07
0.873953104019165,1984-03-08
0.8626619577407837,1984-03-09
0.8852442502975464,1984-03-12
0.8897608518600464,1984-03-13
0.8829859495162964,1984-03-14
0.8852442502975464,1984-03-15
0.8942779302597046,1984-03-16
0.8852442502975464,1984-03-19
0.8784699440002441,1984-03-20
0.8875025510787964,1984-03-21
0.8807278871536255,1984-03-22
0.8807278871536255,1984-03-23
0.8807278871536255,1984-03-26
0.8920193910598755,1984-03-27
0.9033103585243225,1984-03-28
0.8987941145896912,1984-03-29
0.9078273177146912,1984-03-30
0.8987941145896912,1984-04-02
0.8875025510787964,1984-04-03
0.8987941145896912,1984-04-04
0.8807278871536255,1984-04-05
0.8807278871536255,1984-04-06
0.8897608518600464,1984-04-09
0.8852442502975464,1984-04-10
0.8716953992843628,1984-04-11
0.8762117028236389,1984-04-12
0.8762117028236389,1984-04-13
0.8829859495162964,1984-04-16
0.8852442502975464,1984-04-17
0.8784699440002441,1984-04-18
0.8716953992843628,1984-04-19
0.8513705134391785,1984-04-23
0.8604035377502441,1984-04-24
0.867178201675415,1984-04-25
0.867178201675415,1984-04-26
0.8716953992843628,1984-04-27
0.8694369792938232,1984-04-30
0.8852442502975464,1984-05-01
0.8852442502975464,1984-05-02
0.867178201675415,1984-05-03
0.8626619577407837,1984-05-04
0.8536292314529419,1984-05-07
0.8468538522720337,1984-05-08
0.8445958495140076,1984-05-09
0.8378204703330994,1984-05-10
0.8378204703330994,1984-05-11
0.8314071893692017,1984-05-14
0.8382782936096191,1984-05-15
0.8199560642242432,1984-05-16
0.7970520257949829,1984-05-17
0.8085036277770996,1984-05-18
0.8062134385108948,1984-05-21
0.8062134385108948,1984-05-22
0.8062134385108948,1984-05-23
0.7970520257949829,1984-05-24
0.7970520257949829,1984-05-25
0.764986515045166,1984-05-29
0.7604057192802429,1984-05-30
0.7512447237968445,1984-05-31
0.7512447237968445,1984-06-01
0.7512447237968445,1984-06-04
0.7466634511947632,1984-06-05
0.7466634511947632,1984-06-06
0.7466634511947632,1984-06-07
0.7420828342437744,1984-06-08
0.7443724870681763,1984-06-11
0.7375020384788513,1984-06-12
0.7375020384788513,1984-06-13
0.7397923469543457,1984-06-14
0.7512447237968445,1984-06-15
0.774148166179657,1984-06-18
0.7695670127868652,1984-06-19
0.7626960277557373,1984-06-20
0.764986515045166,1984-06-21
0.755824863910675,1984-06-22
0.7581157088279724,1984-06-25
0.7466634511947632,1984-06-26
0.7466634511947632,1984-06-27
0.7443724870681763,1984-06-28
0.7329216599464417,1984-06-29
0.7168887853622437,1984-07-02
0.7168887853622437,1984-07-03
0.719179093837738,1984-07-05
0.7168887853622437,1984-07-06
0.7145981788635254,1984-07-09
0.712307870388031,1984-07-10
0.7008556127548218,1984-07-11
0.6871135830879211,1984-07-12
0.6687906384468079,1984-07-13
0.6779521703720093,1984-07-16
0.6756618618965149,1984-07-17
0.6756618618965149,1984-07-18
0.6710813641548157,1984-07-19
0.6687906384468079,1984-07-20
0.6596285700798035,1984-07-23
0.652758002281189,1984-07-24
0.655048131942749,1984-07-25
0.6642099022865295,1984-07-26
0.6871135830879211,1984-07-27
0.6871135830879211,1984-07-30
0.6894044876098633,1984-07-31
0.7237598896026611,1984-08-01
0.7695670127868652,1984-08-02
0.8153750896453857,1984-08-03
0.8382782936096191,1984-08-06
0.8062134385108948,1984-08-07
0.787890613079071,1984-08-08
0.7924710512161255,1984-08-09
0.7970520257949829,1984-08-10
0.8137930631637573,1984-08-13
0.8068172931671143,1984-08-14
0.8091423511505127,1984-08-15
0.8230932354927063,1984-08-16
