SBNY,Date
78.371337890625,2020-11-03
74.23165893554688,2020-11-04
76.4037857055664,2020-11-05
74.03687286376953,2020-11-06
95.41706085205078,2020-11-09
98.87490844726562,2020-11-10
96.83915710449219,2020-11-11
97.68657684326172,2020-11-12
99.98532104492188,2020-11-13
108.24518585205078,2020-11-16
107.04711151123047,2020-11-17
102.85873413085938,2020-11-18
103.26783752441406,2020-11-19
103.29706573486328,2020-11-20
106.3458023071289,2020-11-23
113.43682098388672,2020-11-24
112.28744506835938,2020-11-25
112.20952606201172,2020-11-27
109.27766418457031,2020-11-30
112.96929168701172,2020-12-01
118.4628677368164,2020-12-02
120.09925842285156,2020-12-03
121.21940612792969,2020-12-04
120.13821411132812,2020-12-07
117.74208068847656,2020-12-08
123.70320892333984,2020-12-09
126.62532806396484,2020-12-10
124.90129089355469,2020-12-11
124.82334899902344,2020-12-14
127.67729187011719,2020-12-15
128.70005798339844,2020-12-16
127.62860870361328,2020-12-17
127.69679260253906,2020-12-18
129.12860107421875,2020-12-21
128.72927856445312,2020-12-22
131.51504516601562,2020-12-23
130.71630859375,2020-12-24
133.2001190185547,2020-12-28
130.28773498535156,2020-12-29
130.74551391601562,2020-12-30
131.77801513671875,2020-12-31
132.4111328125,2021-01-04
131.9143829345703,2021-01-05
139.1514892578125,2021-01-06
142.18077087402344,2021-01-07
141.19699096679688,2021-01-08
141.5086669921875,2021-01-11
146.56394958496094,2021-01-12
149.72959899902344,2021-01-13
155.67123413085938,2021-01-14
150.32376098632812,2021-01-15
151.28807067871094,2021-01-19
149.72959899902344,2021-01-20
147.82044982910156,2021-01-21
156.1095733642578,2021-01-22
159.85960388183594,2021-01-25
159.93751525878906,2021-01-26
155.2134552001953,2021-01-27
160.51222229003906,2021-01-28
161.45046997070312,2021-01-29
162.7894744873047,2021-02-01
173.14950561523438,2021-02-02
173.64797973632812,2021-02-03
179.1602783203125,2021-02-04
178.75955200195312,2021-02-05
191.0059051513672,2021-02-08
205.83253479003906,2021-02-09
207.1030731201172,2021-02-10
207.94358825683594,2021-02-11
209.19464111328125,2021-02-12
210.15243530273438,2021-02-16
210.05471801757812,2021-02-17
205.549072265625,2021-02-18
215.8406982421875,2021-02-19
212.2342071533203,2021-02-22
208.63754272460938,2021-02-23
220.93275451660156,2021-02-24
216.6128387451172,2021-02-25
213.39730834960938,2021-02-26
218.66525268554688,2021-03-01
215.3324737548828,2021-03-02
217.19924926757812,2021-03-03
211.75534057617188,2021-03-04
217.5803985595703,2021-03-05
221.5289764404297,2021-03-08
217.77590942382812,2021-03-09
222.97543334960938,2021-03-10
231.6837615966797,2021-03-11
236.16006469726562,2021-03-12
240.38226318359375,2021-03-15
236.10142517089844,2021-03-16
233.87303161621094,2021-03-17
228.63436889648438,2021-03-18
232.94451904296875,2021-03-19
224.51480102539062,2021-03-22
212.6251678466797,2021-03-23
207.4549102783203,2021-03-24
210.934326171875,2021-03-25
215.03924560546875,2021-03-26
209.83969116210938,2021-03-29
218.4600372314453,2021-03-30
220.98159790039062,2021-03-31
219.90652465820312,2021-04-01
223.02432250976562,2021-04-05
218.54800415039062,2021-04-06
218.63595581054688,2021-04-07
219.63287353515625,2021-04-08
223.09274291992188,2021-04-09
226.2202911376953,2021-04-12
224.24600219726562,2021-04-13
224.61740112304688,2021-04-14
226.71875,2021-04-15
222.4085693359375,2021-04-16
222.68223571777344,2021-04-19
214.26715087890625,2021-04-20
233.85350036621094,2021-04-21
235.43682861328125,2021-04-22
233.4332275390625,2021-04-23
247.1065216064453,2021-04-26
246.14871215820312,2021-04-27
247.05764770507812,2021-04-28
249.3153533935547,2021-04-29
246.35723876953125,2021-04-30
243.418701171875,2021-05-03
248.60031127929688,2021-05-04
251.4996795654297,2021-05-05
248.3456573486328,2021-05-06
249.83448791503906,2021-05-07
247.7089385986328,2021-05-10
244.87814331054688,2021-05-11
236.53273010253906,2021-05-12
234.27005004882812,2021-05-13
241.65557861328125,2021-05-14
241.40089416503906,2021-05-17
241.79270935058594,2021-05-18
230.40097045898438,2021-05-19
232.48733520507812,2021-05-20
235.28872680664062,2021-05-21
234.6226806640625,2021-05-24
233.06524658203125,2021-05-25
238.8149871826172,2021-05-26
245.03489685058594,2021-05-27
244.63330078125,2021-05-28
245.19161987304688,2021-06-01
243.3207550048828,2021-06-02
242.65467834472656,2021-06-03
245.25039672851562,2021-06-04
244.31005859375,2021-06-07
240.99929809570312,2021-06-08
243.2227783203125,2021-06-09
238.34481811523438,2021-06-10
243.24237060546875,2021-06-11
236.65029907226562,2021-06-14
237.1204376220703,2021-06-15
253.05712890625,2021-06-16
239.25575256347656,2021-06-17
229.69573974609375,2021-06-18
242.07676696777344,2021-06-21
239.2655792236328,2021-06-22
241.9886016845703,2021-06-23
246.2005157470703,2021-06-24
251.18621826171875,2021-06-25
242.03758239746094,2021-06-28
239.00108337402344,2021-06-29
240.6173095703125,2021-06-30
244.7998046875,2021-07-01
242.97792053222656,2021-07-02
236.2290802001953,2021-07-06
236.1507110595703,2021-07-07
235.32791137695312,2021-07-08
250.47119140625,2021-07-09
252.3812255859375,2021-07-12
248.1595458984375,2021-07-13
244.4569854736328,2021-07-14
243.8398895263672,2021-07-15
231.05723571777344,2021-07-16
223.08401489257812,2021-07-19
230.67523193359375,2021-07-20
235.8372802734375,2021-07-21
232.17388916015625,2021-07-22
234.3288116455078,2021-07-23
230.57725524902344,2021-07-26
225.32708740234375,2021-07-27
226.64942932128906,2021-07-28
226.0995635986328,2021-07-29
222.85934448242188,2021-07-30
222.72186279296875,2021-08-02
227.44476318359375,2021-08-03
225.8442840576172,2021-08-04
235.1623992919922,2021-08-05
242.79168701171875,2021-08-06
247.6422119140625,2021-08-09
249.8809356689453,2021-08-10
257.6869201660156,2021-08-11
