ZTS,Date
202.7139129638672,2021-10-20
204.98365783691406,2021-10-21
204.87554931640625,2021-10-22
207.83311462402344,2021-10-25
206.8505401611328,2021-10-26
205.92689514160156,2021-10-27
209.2126007080078,2021-10-28
212.6852264404297,2021-10-29
210.1274871826172,2021-11-01
208.750244140625,2021-11-02
207.69764709472656,2021-11-03
214.22972106933594,2021-11-04
213.20660400390625,2021-11-05
214.25921630859375,2021-11-08
216.63987731933594,2021-11-09
213.05905151367188,2021-11-10
212.18350219726562,2021-11-11
213.32469177246094,2021-11-12
212.54751586914062,2021-11-15
216.60052490234375,2021-11-16
218.26304626464844,2021-11-17
221.87339782714844,2021-11-18
222.74891662597656,2021-11-19
220.69290161132812,2021-11-22
220.0239715576172,2021-11-23
219.5419158935547,2021-11-24
215.7545166015625,2021-11-26
219.91574096679688,2021-11-29
218.43028259277344,2021-11-30
216.08897399902344,2021-12-01
219.56158447265625,2021-12-02
219.6992950439453,2021-12-03
219.34518432617188,2021-12-06
222.0308074951172,2021-12-07
225.8870391845703,2021-12-08
226.41827392578125,2021-12-09
227.68731689453125,2021-12-10
228.58251953125,2021-12-13
224.36227416992188,2021-12-14
228.30706787109375,2021-12-15
229.0251922607422,2021-12-16
230.50082397460938,2021-12-17
230.4516143798828,2021-12-20
233.77667236328125,2021-12-21
237.6427764892578,2021-12-22
238.5675048828125,2021-12-23
242.50247192382812,2021-12-27
240.2792205810547,2021-12-28
243.01402282714844,2021-12-29
241.1744384765625,2021-12-30
240.0627899169922,2021-12-31
230.22535705566406,2022-01-03
221.46022033691406,2022-01-04
213.03936767578125,2022-01-05
213.8853759765625,2022-01-06
207.6583251953125,2022-01-07
209.14373779296875,2022-01-10
209.34054565429688,2022-01-11
209.350341796875,2022-01-12
203.63479614257812,2022-01-13
202.828125,2022-01-14
199.40467834472656,2022-01-18
197.63604736328125,2022-01-19
198.99578857421875,2022-01-20
197.3897247314453,2022-01-21
197.13352966308594,2022-01-24
192.38427734375,2022-01-25
187.05368041992188,2022-01-26
184.9056854248047,2022-01-27
192.43353271484375,2022-01-28
196.85765075683594,2022-01-31
195.95114135742188,2022-02-01
199.20269775390625,2022-02-02
197.97105407714844,2022-02-03
196.61129760742188,2022-02-04
197.37985229492188,2022-02-07
198.34548950195312,2022-02-08
199.32093811035156,2022-02-09
196.4438018798828,2022-02-10
195.95114135742188,2022-02-11
193.54693603515625,2022-02-14
194.85743713378906,2022-02-15
192.2266082763672,2022-02-16
190.2362823486328,2022-02-17
188.511962890625,2022-02-18
187.3098602294922,2022-02-22
184.31446838378906,2022-02-23
188.1473846435547,2022-02-24
191.85220336914062,2022-02-25
190.80775451660156,2022-02-28
189.71405029296875,2022-03-01
193.19224548339844,2022-03-02
192.9951629638672,2022-03-03
193.950927734375,2022-03-04
185.329345703125,2022-03-07
178.72769165039062,2022-03-08
186.7974853515625,2022-03-09
186.44277954101562,2022-03-10
182.57044982910156,2022-03-11
181.94972229003906,2022-03-14
186.3343963623047,2022-03-15
189.1031494140625,2022-03-16
190.83729553222656,2022-03-17
193.0247344970703,2022-03-18
191.85220336914062,2022-03-21
193.9903564453125,2022-03-22
188.4232940673828,2022-03-23
186.78762817382812,2022-03-24
186.6497039794922,2022-03-25
186.59056091308594,2022-03-28
189.45785522460938,2022-03-29
188.511962890625,2022-03-30
185.822021484375,2022-03-31
188.3050079345703,2022-04-01
185.96983337402344,2022-04-04
185.6348114013672,2022-04-05
188.57107543945312,2022-04-06
195.02493286132812,2022-04-07
197.1532440185547,2022-04-08
189.67462158203125,2022-04-11
185.15200805664062,2022-04-12
186.73837280273438,2022-04-13
184.5509490966797,2022-04-14
180.12686157226562,2022-04-18
183.21092224121094,2022-04-19
185.34786987304688,2022-04-20
182.32749938964844,2022-04-21
179.5933837890625,2022-04-22
177.96475219726562,2022-04-25
174.67788696289062,2022-04-26
176.15847778320312,2022-04-27
178.961669921875,2022-04-28
174.95425415039062,2022-04-29
172.4076690673828,2022-05-02
172.87158203125,2022-05-03
174.5692901611328,2022-05-04
169.2293701171875,2022-05-05
167.0183868408203,2022-05-06
159.7142333984375,2022-05-09
160.54335021972656,2022-05-10
157.82896423339844,2022-05-11
160.96780395507812,2022-05-12
163.18862915039062,2022-05-13
163.3564453125,2022-05-16
164.27438354492188,2022-05-17
156.8024444580078,2022-05-18
156.57542419433594,2022-05-19
160.4545440673828,2022-05-20
160.88882446289062,2022-05-23
160.9381866455078,2022-05-24
160.91845703125,2022-05-25
163.7512664794922,2022-05-26
169.8709716796875,2022-05-27
168.7161102294922,2022-05-31
164.85675048828125,2022-06-01
170.46319580078125,2022-06-02
166.8209686279297,2022-06-03
168.7950897216797,2022-06-06
171.52920532226562,2022-06-07
169.07144165039062,2022-06-08
164.33363342285156,2022-06-09
159.39840698242188,2022-06-10
153.9498748779297,2022-06-13
155.7561798095703,2022-06-14
156.022705078125,2022-06-15
155.3514862060547,2022-06-16
156.77284240722656,2022-06-17
159.91163635253906,2022-06-21
162.08316040039062,2022-06-22
166.97891235351562,2022-06-23
172.3484649658203,2022-06-24
171.35153198242188,2022-06-27
167.91661071777344,2022-06-28
171.66737365722656,2022-06-29
169.6636962890625,2022-06-30
171.95362854003906,2022-07-01
171.99313354492188,2022-07-05
176.18804931640625,2022-07-06
176.78030395507812,2022-07-07
175.6748046875,2022-07-08
174.74696350097656,2022-07-11
