NDX,Date
14783.1298828125,2023-10-19
14560.8798828125,2023-10-20
14604.849609375,2023-10-23
14745.849609375,2023-10-24
14381.6396484375,2023-10-25
14109.5703125,2023-10-26
14180.419921875,2023-10-27
14335.509765625,2023-10-30
14409.7802734375,2023-10-31
14664.91015625,2023-11-01
14919.5498046875,2023-11-02
15099.490234375,2023-11-03
15154.9296875,2023-11-06
15296.01953125,2023-11-07
15313.240234375,2023-11-08
15187.900390625,2023-11-09
15529.1201171875,2023-11-10
15482.7900390625,2023-11-13
15812.4697265625,2023-11-14
15817.1796875,2023-11-15
15833.169921875,2023-11-16
15837.990234375,2023-11-17
16027.0595703125,2023-11-20
15933.6201171875,2023-11-21
15982.009765625,2023-11-24
15961.98046875,2023-11-27
16010.4296875,2023-11-28
15987.599609375,2023-11-29
15947.8701171875,2023-11-30
15997.580078125,2023-12-01
15839.669921875,2023-12-04
15877.7099609375,2023-12-05
15788.0498046875,2023-12-06
16022.490234375,2023-12-07
16084.6904296875,2023-12-08
16221.73046875,2023-12-11
16354.25,2023-12-12
16562.369140625,2023-12-13
16537.830078125,2023-12-14
16623.44921875,2023-12-15
16729.80078125,2023-12-18
16811.849609375,2023-12-19
16554.16015625,2023-12-20
16757.41015625,2023-12-21
16777.400390625,2023-12-22
16878.4609375,2023-12-26
16906.80078125,2023-12-27
16898.470703125,2023-12-28
16825.9296875,2023-12-29
16543.939453125,2024-01-02
16368.490234375,2024-01-03
16282.009765625,2024-01-04
16305.98046875,2024-01-05
16649.869140625,2024-01-08
16678.69921875,2024-01-09
16793.05078125,2024-01-10
16820.900390625,2024-01-11
16832.919921875,2024-01-12
16830.7109375,2024-01-16
16736.279296875,2024-01-17
16982.2890625,2024-01-18
17314.0,2024-01-19
17330.380859375,2024-01-22
17404.2109375,2024-01-23
17499.30078125,2024-01-24
17421.009765625,2024-01-26
17596.26953125,2024-01-29
17476.7109375,2024-01-30
17137.240234375,2024-01-31
17344.7109375,2024-02-01
17642.73046875,2024-02-02
