MDB,Date
472.8699951171875,2021-10-07
449.0,2021-10-08
454.20001220703125,2021-10-11
470.94000244140625,2021-10-12
494.0199890136719,2021-10-13
489.29998779296875,2021-10-14
491.80999755859375,2021-10-15
503.9599914550781,2021-10-18
508.010009765625,2021-10-19
504.5,2021-10-20
509.42999267578125,2021-10-21
504.8900146484375,2021-10-22
518.8699951171875,2021-10-25
501.67999267578125,2021-10-26
497.9599914550781,2021-10-27
504.6199951171875,2021-10-28
521.2899780273438,2021-10-29
498.2699890136719,2021-11-01
518.3599853515625,2021-11-02
521.2000122070312,2021-11-03
535.0800170898438,2021-11-04
555.5800170898438,2021-11-05
571.2999877929688,2021-11-08
576.77001953125,2021-11-09
554.9600219726562,2021-11-10
548.6799926757812,2021-11-11
566.8300170898438,2021-11-12
561.8900146484375,2021-11-15
585.030029296875,2021-11-16
570.0,2021-11-17
567.7899780273438,2021-11-18
569.77001953125,2021-11-19
515.8699951171875,2021-11-22
498.8599853515625,2021-11-23
507.17999267578125,2021-11-24
518.6099853515625,2021-11-26
525.97998046875,2021-11-29
498.1000061035156,2021-11-30
456.8900146484375,2021-12-01
481.5899963378906,2021-12-02
450.1600036621094,2021-12-03
429.3399963378906,2021-12-06
499.82000732421875,2021-12-07
531.5700073242188,2021-12-08
513.280029296875,2021-12-09
507.7300109863281,2021-12-10
494.92999267578125,2021-12-13
478.54998779296875,2021-12-14
508.4100036621094,2021-12-15
481.0199890136719,2021-12-16
497.8500061035156,2021-12-17
495.6000061035156,2021-12-20
538.4600219726562,2021-12-21
551.52001953125,2021-12-22
551.1099853515625,2021-12-23
559.1900024414062,2021-12-27
542.0800170898438,2021-12-28
538.010009765625,2021-12-29
532.3499755859375,2021-12-30
529.3499755859375,2021-12-31
487.55999755859375,2022-01-03
465.3699951171875,2022-01-04
428.7699890136719,2022-01-05
429.67999267578125,2022-01-06
429.6300048828125,2022-01-07
435.0,2022-01-10
443.7900085449219,2022-01-11
432.489990234375,2022-01-12
390.8299865722656,2022-01-13
396.8900146484375,2022-01-14
387.2699890136719,2022-01-18
384.5899963378906,2022-01-19
389.1199951171875,2022-01-20
375.57000732421875,2022-01-21
386.45001220703125,2022-01-24
365.4800109863281,2022-01-25
351.57000732421875,2022-01-26
351.510009765625,2022-01-27
373.04998779296875,2022-01-28
405.1099853515625,2022-01-31
411.1499938964844,2022-02-01
397.9100036621094,2022-02-02
381.8500061035156,2022-02-03
403.5400085449219,2022-02-04
407.8299865722656,2022-02-07
419.42999267578125,2022-02-08
441.6700134277344,2022-02-09
450.6000061035156,2022-02-10
427.1700134277344,2022-02-11
429.92999267578125,2022-02-14
445.8299865722656,2022-02-15
436.1300048828125,2022-02-16
409.55999755859375,2022-02-17
390.17999267578125,2022-02-18
382.42999267578125,2022-02-22
354.80999755859375,2022-02-23
375.3599853515625,2022-02-24
375.94000244140625,2022-02-25
381.989990234375,2022-02-28
381.80999755859375,2022-03-01
381.6700134277344,2022-03-02
327.2300109863281,2022-03-03
306.1099853515625,2022-03-04
279.9800109863281,2022-03-07
281.739990234375,2022-03-08
334.0899963378906,2022-03-09
338.510009765625,2022-03-10
316.489990234375,2022-03-11
290.1600036621094,2022-03-14
298.260009765625,2022-03-15
343.82000732421875,2022-03-16
372.42999267578125,2022-03-17
398.1000061035156,2022-03-18
390.5,2022-03-21
405.7699890136719,2022-03-22
404.8500061035156,2022-03-23
420.3399963378906,2022-03-24
406.0400085449219,2022-03-25
420.9200134277344,2022-03-28
435.8900146484375,2022-03-29
430.2200012207031,2022-03-30
443.5899963378906,2022-03-31
454.45001220703125,2022-04-01
458.6000061035156,2022-04-04
435.1199951171875,2022-04-05
421.8900146484375,2022-04-06
428.489990234375,2022-04-07
416.8800048828125,2022-04-08
410.1000061035156,2022-04-11
414.07000732421875,2022-04-12
435.239990234375,2022-04-13
416.5,2022-04-14
401.1499938964844,2022-04-18
416.0,2022-04-19
407.010009765625,2022-04-20
377.8699951171875,2022-04-21
371.0400085449219,2022-04-22
381.739990234375,2022-04-25
352.75,2022-04-26
359.9800109863281,2022-04-27
377.6499938964844,2022-04-28
354.92999267578125,2022-04-29
359.5899963378906,2022-05-02
343.7200012207031,2022-05-03
360.55999755859375,2022-05-04
315.92999267578125,2022-05-05
299.7099914550781,2022-05-06
252.72000122070312,2022-05-09
250.49000549316406,2022-05-10
242.25,2022-05-11
245.6300048828125,2022-05-12
286.0299987792969,2022-05-13
252.0,2022-05-16
247.27999877929688,2022-05-17
229.97000122070312,2022-05-18
245.3300018310547,2022-05-19
248.10000610351562,2022-05-20
244.0500030517578,2022-05-23
223.61000061035156,2022-05-24
230.7899932861328,2022-05-25
233.05999755859375,2022-05-26
250.05999755859375,2022-05-27
237.14999389648438,2022-05-31
241.80999755859375,2022-06-01
286.70001220703125,2022-06-02
273.1300048828125,2022-06-03
274.5899963378906,2022-06-06
