TXT,Date
34.458683013916016,1999-06-07
34.17133331298828,1999-06-08
33.83966064453125,1999-06-09
33.214778900146484,1999-06-10
32.30148696899414,1999-06-11
32.30148696899414,1999-06-14
32.133270263671875,1999-06-15
32.61393356323242,1999-06-16
33.238826751708984,1999-06-17
32.878334045410156,1999-06-18
31.820833206176758,1999-06-21
31.796798706054688,1999-06-22
32.15727615356445,1999-06-23
32.15727615356445,1999-06-24
31.388208389282227,1999-06-25
31.965024948120117,1999-06-28
31.940988540649414,1999-06-29
31.6525821685791,1999-06-30
33.04655456542969,1999-07-01
33.57529067993164,1999-07-02
33.3589973449707,1999-07-06
34.08000183105469,1999-07-07
34.80101013183594,1999-07-08
34.72889709472656,1999-07-09
34.777000427246094,1999-07-12
34.5847053527832,1999-07-13
34.272274017333984,1999-07-14
33.983863830566406,1999-07-15
34.00790023803711,1999-07-16
34.1280632019043,1999-07-19
33.262840270996094,1999-07-20
33.43107986450195,1999-07-21
33.527217864990234,1999-07-22
32.71007537841797,1999-07-23
33.07057189941406,1999-07-26
32.78218078613281,1999-07-27
32.68604278564453,1999-07-28
32.25342559814453,1999-07-29
31.628559112548828,1999-07-30
31.26803970336914,1999-08-02
32.109214782714844,1999-08-03
31.8688907623291,1999-08-04
31.8688907623291,1999-08-05
31.580493927001953,1999-08-06
31.436288833618164,1999-08-09
30.71525764465332,1999-08-10
31.316120147705078,1999-08-11
31.219970703125,1999-08-12
31.820833206176758,1999-08-13
31.8688907623291,1999-08-16
31.91695213317871,1999-08-17
31.60451316833496,1999-08-18
31.436288833618164,1999-08-19
31.219970703125,1999-08-20
32.49375915527344,1999-08-23
32.758140563964844,1999-08-24
32.68604278564453,1999-08-25
32.013099670410156,1999-08-26
31.55646324157715,1999-08-27
31.26803970336914,1999-08-30
31.051738739013672,1999-08-31
31.316120147705078,1999-09-01
30.76334571838379,1999-09-02
31.844850540161133,1999-09-03
31.388208389282227,1999-09-07
31.07935905456543,1999-09-08
31.489538192749023,1999-09-09
30.91042709350586,1999-09-10
30.40370750427246,1999-09-13
30.065881729125977,1999-09-14
29.752199172973633,1999-09-15
29.14893913269043,1999-09-16
29.24547576904297,1999-09-17
28.81114959716797,1999-09-20
28.762874603271484,1999-09-21
29.052433013916016,1999-09-22
28.883522033691406,1999-09-23
28.980058670043945,1999-09-24
29.36611557006836,1999-09-27
29.486778259277344,1999-09-28
29.824594497680664,1999-09-29
29.872848510742188,1999-09-30
29.24547576904297,1999-10-01
29.824594497680664,1999-10-04
29.776336669921875,1999-10-05
29.921112060546875,1999-10-06
29.848709106445312,1999-10-07
30.017614364624023,1999-10-08
29.969379425048828,1999-10-11
29.004169464111328,1999-10-12
28.352645874023438,1999-10-13
28.328540802001953,1999-10-14
28.13551139831543,1999-10-15
28.642234802246094,1999-10-18
27.990726470947266,1999-10-19
28.883522033691406,1999-10-20
28.762874603271484,1999-10-21
29.317867279052734,1999-10-22
29.14893913269043,1999-10-25
28.376794815063477,1999-10-26
28.883522033691406,1999-10-27
29.535032272338867,1999-10-28
29.80047035217285,1999-10-29
28.376794815063477,1999-11-01
28.690486907958984,1999-11-02
28.835262298583984,1999-11-03
28.15963363647461,1999-11-04
27.942461013793945,1999-11-05
28.01484489440918,1999-11-08
26.953136444091797,1999-11-09
26.422264099121094,1999-11-10
26.78421974182129,1999-11-11
26.615310668945312,1999-11-12
27.652891159057617,1999-11-15
28.400920867919922,1999-11-16
28.376794815063477,1999-11-17
28.931779861450195,1999-11-18
28.714601516723633,1999-11-19
28.328540802001953,1999-11-22
28.352645874023438,1999-11-23
28.2802791595459,1999-11-24
28.038978576660156,1999-11-26
27.556365966796875,1999-11-29
27.60463523864746,1999-11-30
27.942461013793945,1999-12-01
27.749422073364258,1999-12-02
27.91832160949707,1999-12-03
27.894203186035156,1999-12-06
27.79766845703125,1999-12-07
28.505462646484375,1999-12-08
28.360021591186523,1999-12-09
28.43273162841797,1999-12-10
28.21458625793457,1999-12-13
28.43273162841797,1999-12-14
28.117639541625977,1999-12-15
28.311552047729492,1999-12-16
28.456989288330078,1999-12-17
27.729808807373047,1999-12-20
27.293514251708984,1999-12-21
27.148067474365234,1999-12-22
28.311552047729492,1999-12-23
28.481218338012695,1999-12-27
29.038742065429688,1999-12-28
29.305368423461914,1999-12-29
29.20840072631836,1999-12-30
29.741683959960938,1999-12-31
29.062969207763672,2000-01-03
28.578184127807617,2000-01-04
27.899486541748047,2000-01-05
27.53587532043457,2000-01-06
28.21458625793457,2000-01-07
28.553939819335938,2000-01-10
28.335783004760742,2000-01-11
27.80254364013672,2000-01-12
26.71175765991211,2000-01-13
26.71175765991211,2000-01-14
26.033050537109375,2000-01-18
24.53020668029785,2000-01-19
22.445629119873047,2000-01-20
23.415210723876953,2000-01-21
23.609119415283203,2000-01-24
23.366729736328125,2000-01-25
23.366729736328125,2000-01-26
23.560630798339844,2000-01-27
22.88193130493164,2000-01-28
23.148561477661133,2000-01-31
23.269765853881836,2000-02-01
23.924226760864258,2000-02-02
23.924226760864258,2000-02-03
23.94846534729004,2000-02-04
23.70607566833496,2000-02-07
23.851512908935547,2000-02-08
23.70607566833496,2000-02-09
