EW,Date
34.33000183105469,2016-05-13
34.66666793823242,2016-05-16
33.61333465576172,2016-05-17
33.26333236694336,2016-05-18
32.606666564941406,2016-05-19
33.03666687011719,2016-05-20
33.34000015258789,2016-05-23
33.83000183105469,2016-05-24
33.3033332824707,2016-05-25
33.143333435058594,2016-05-26
33.3466682434082,2016-05-27
32.83333206176758,2016-05-31
33.279998779296875,2016-06-01
34.03333282470703,2016-06-02
33.84333419799805,2016-06-03
33.81666564941406,2016-06-06
33.83333206176758,2016-06-07
34.223331451416016,2016-06-08
34.15999984741211,2016-06-09
33.84000015258789,2016-06-10
33.709999084472656,2016-06-13
33.650001525878906,2016-06-14
32.616668701171875,2016-06-15
33.10333251953125,2016-06-16
32.8466682434082,2016-06-17
33.0533332824707,2016-06-20
32.856666564941406,2016-06-21
32.68000030517578,2016-06-22
33.026668548583984,2016-06-23
32.01333236694336,2016-06-24
31.510000228881836,2016-06-27
31.656667709350586,2016-06-28
32.3033332824707,2016-06-29
33.24333190917969,2016-06-30
32.86000061035156,2016-07-01
33.209999084472656,2016-07-05
34.5,2016-07-06
34.58333206176758,2016-07-07
34.90666580200195,2016-07-08
34.82666778564453,2016-07-11
35.42333221435547,2016-07-12
35.496665954589844,2016-07-13
35.676666259765625,2016-07-14
35.09000015258789,2016-07-15
35.25,2016-07-18
35.3033332824707,2016-07-19
35.56999969482422,2016-07-20
35.41999816894531,2016-07-21
35.41666793823242,2016-07-22
35.50666809082031,2016-07-25
36.116668701171875,2016-07-26
38.14666748046875,2016-07-27
37.663333892822266,2016-07-28
38.17333221435547,2016-07-29
38.07666778564453,2016-08-01
37.86000061035156,2016-08-02
37.78666687011719,2016-08-03
37.65999984741211,2016-08-04
37.74333190917969,2016-08-05
37.46666717529297,2016-08-08
37.79666519165039,2016-08-09
38.0099983215332,2016-08-10
37.973331451416016,2016-08-11
37.866668701171875,2016-08-12
38.063331604003906,2016-08-15
37.58333206176758,2016-08-16
37.56999969482422,2016-08-17
38.31666564941406,2016-08-18
39.356666564941406,2016-08-19
38.996665954589844,2016-08-22
39.0533332824707,2016-08-23
38.099998474121094,2016-08-24
38.25666809082031,2016-08-25
38.41999816894531,2016-08-26
38.70000076293945,2016-08-29
38.44333267211914,2016-08-30
38.38666534423828,2016-08-31
38.62333297729492,2016-09-01
38.616668701171875,2016-09-02
39.18000030517578,2016-09-06
38.823333740234375,2016-09-07
39.11000061035156,2016-09-08
38.20000076293945,2016-09-09
38.7400016784668,2016-09-12
38.08333206176758,2016-09-13
38.2400016784668,2016-09-14
38.9900016784668,2016-09-15
38.866668701171875,2016-09-16
38.913333892822266,2016-09-19
39.13999938964844,2016-09-20
39.723331451416016,2016-09-21
40.290000915527344,2016-09-22
39.92333221435547,2016-09-23
39.64666748046875,2016-09-26
40.40666580200195,2016-09-27
40.1533317565918,2016-09-28
39.753334045410156,2016-09-29
40.186668395996094,2016-09-30
39.9033317565918,2016-10-03
39.723331451416016,2016-10-04
40.003334045410156,2016-10-05
39.90666580200195,2016-10-06
40.029998779296875,2016-10-07
40.45333480834961,2016-10-10
39.41666793823242,2016-10-11
39.38666534423828,2016-10-12
39.5533332824707,2016-10-13
38.66666793823242,2016-10-14
38.516666412353516,2016-10-17
39.40666580200195,2016-10-18
39.220001220703125,2016-10-19
39.28666687011719,2016-10-20
39.22666549682617,2016-10-21
39.0099983215332,2016-10-24
37.893333435058594,2016-10-25
31.416667938232422,2016-10-26
30.733333587646484,2016-10-27
32.0533332824707,2016-10-28
31.739999771118164,2016-10-31
30.666667938232422,2016-11-01
29.56999969482422,2016-11-02
29.766666412353516,2016-11-03
29.876667022705078,2016-11-04
30.446666717529297,2016-11-07
30.463333129882812,2016-11-08
30.816667556762695,2016-11-09
30.950000762939453,2016-11-10
30.336666107177734,2016-11-11
28.863332748413086,2016-11-14
29.636667251586914,2016-11-15
29.709999084472656,2016-11-16
30.239999771118164,2016-11-17
29.676666259765625,2016-11-18
29.733333587646484,2016-11-21
28.34666633605957,2016-11-22
28.953332901000977,2016-11-23
28.600000381469727,2016-11-25
28.100000381469727,2016-11-28
27.96666717529297,2016-11-29
27.616666793823242,2016-11-30
27.156667709350586,2016-12-01
27.78333282470703,2016-12-02
27.496667861938477,2016-12-05
27.739999771118164,2016-12-06
27.90999984741211,2016-12-07
29.766666412353516,2016-12-08
30.123332977294922,2016-12-09
29.643333435058594,2016-12-12
29.790000915527344,2016-12-13
29.940000534057617,2016-12-14
30.15999984741211,2016-12-15
30.463333129882812,2016-12-16
30.49333381652832,2016-12-19
30.290000915527344,2016-12-20
30.476667404174805,2016-12-21
30.600000381469727,2016-12-22
31.0,2016-12-23
31.116666793823242,2016-12-27
30.90333366394043,2016-12-28
31.23666763305664,2016-12-29
31.233333587646484,2016-12-30
31.84000015258789,2017-01-03
32.18000030517578,2017-01-04
32.39666748046875,2017-01-05
32.356666564941406,2017-01-06
32.650001525878906,2017-01-09
33.04666519165039,2017-01-10
32.883331298828125,2017-01-11
32.529998779296875,2017-01-12
32.37666702270508,2017-01-13
32.293331146240234,2017-01-17
31.93000030517578,2017-01-18
32.0966682434082,2017-01-19
31.836666107177734,2017-01-20
31.666667938232422,2017-01-23
31.46666717529297,2017-01-24
32.016666412353516,2017-01-25
31.709999084472656,2017-01-26
32.43333435058594,2017-01-27
32.15666580200195,2017-01-30
32.08000183105469,2017-01-31
32.67333221435547,2017-02-01
29.90999984741211,2017-02-02
30.156667709350586,2017-02-03
29.956666946411133,2017-02-06
30.23666763305664,2017-02-07
30.27666664123535,2017-02-08
30.273332595825195,2017-02-09
30.113332748413086,2017-02-10
29.98666763305664,2017-02-13
29.829999923706055,2017-02-14
30.10333251953125,2017-02-15
29.976667404174805,2017-02-16
29.913333892822266,2017-02-17
30.889999389648438,2017-02-21
30.73666763305664,2017-02-22
31.899999618530273,2017-02-23
31.586666107177734,2017-02-24
31.553333282470703,2017-02-27
31.34666633605957,2017-02-28
31.31333351135254,2017-03-01
31.1200008392334,2017-03-02
30.81333351135254,2017-03-03
29.983333587646484,2017-03-06
30.18000030517578,2017-03-07
29.843332290649414,2017-03-08
31.020000457763672,2017-03-09
30.913333892822266,2017-03-10
31.200000762939453,2017-03-13
31.286666870117188,2017-03-14
31.316667556762695,2017-03-15
30.983333587646484,2017-03-16
31.46666717529297,2017-03-17
31.360000610351562,2017-03-20
30.953332901000977,2017-03-21
31.156667709350586,2017-03-22
31.433332443237305,2017-03-23
