GOLD,Date
1.1156038045883179,1986-11-24
1.1156038045883179,1986-11-25
1.1156038045883179,1986-11-26
1.146308183670044,1986-11-28
1.1360732316970825,1986-12-01
1.1258386373519897,1986-12-02
1.1360732316970825,1986-12-03
1.1156038045883179,1986-12-04
1.146308183670044,1986-12-05
1.1667779684066772,1986-12-08
1.217952847480774,1986-12-09
1.1667779684066772,1986-12-10
1.146308183670044,1986-12-11
1.1667779684066772,1986-12-12
1.1872478723526,1986-12-15
1.1872478723526,1986-12-16
1.1872478723526,1986-12-17
1.217952847480774,1986-12-18
1.2281876802444458,1986-12-19
1.2281876802444458,1986-12-22
1.217952847480774,1986-12-23
1.217952847480774,1986-12-24
1.2281876802444458,1986-12-26
1.2281876802444458,1986-12-29
1.217952847480774,1986-12-30
1.238422155380249,1986-12-31
1.2486573457717896,1987-01-02
1.25889253616333,1987-01-05
1.2691272497177124,1987-01-06
1.2793620824813843,1987-01-07
1.3407716751098633,1987-01-08
1.381710410118103,1987-01-09
1.443121075630188,1987-01-12
1.422650933265686,1987-01-13
1.4635907411575317,1987-01-14
1.443121075630188,1987-01-15
1.4738250970840454,1987-01-16
1.5352345705032349,1987-01-19
1.4738250970840454,1987-01-20
1.5045298337936401,1987-01-21
1.5147650241851807,1987-01-22
1.4942947626113892,1987-01-23
1.4840599298477173,1987-01-26
1.5454694032669067,1987-01-27
1.606878638267517,1987-01-28
1.6580530405044556,1987-01-29
1.617113709449768,1987-01-30
1.6478183269500732,1987-02-02
1.6682881116867065,1987-02-03
1.7092276811599731,1987-02-04
1.7501667737960815,1987-02-05
1.8320462703704834,1987-02-06
1.8525159358978271,1987-02-09
1.8218106031417847,1987-02-10
1.791106939315796,1987-02-11
1.7501667737960815,1987-02-12
1.7194623947143555,1987-02-13
1.6580530405044556,1987-02-17
1.6887577772140503,1987-02-18
1.7092276811599731,1987-02-19
1.780871033668518,1987-02-20
1.8115768432617188,1987-02-23
1.7501667737960815,1987-02-24
1.8115768432617188,1987-02-25
1.9241595268249512,1987-02-26
1.9651002883911133,1987-02-27
2.0367445945739746,1987-03-02
2.0674493312835693,1987-03-03
2.1288580894470215,1987-03-04
2.2414438724517822,1987-03-05
2.1493279933929443,1987-03-06
2.1697983741760254,1987-03-09
2.190269708633423,1987-03-10
2.302851438522339,1987-03-11
2.405200958251953,1987-03-12
2.3744957447052,1987-03-13
2.3642609119415283,1987-03-16
2.3437914848327637,1987-03-17
2.3233211040496826,1987-03-18
2.3130855560302734,1987-03-19
2.3335559368133545,1987-03-20
2.3744957447052,1987-03-23
2.4563753604888916,1987-03-24
2.538254499435425,1987-03-25
2.507550001144409,1987-03-26
2.6610727310180664,1987-03-27
2.6815433502197266,1987-03-30
2.671308755874634,1987-03-31
2.538254499435425,1987-04-01
2.620133638381958,1987-04-02
2.763420820236206,1987-04-03
2.599663496017456,1987-04-06
2.630368947982788,1987-04-07
2.4563753604888916,1987-04-08
2.5587241649627686,1987-04-09
2.6098978519439697,1987-04-10
2.5587241649627686,1987-04-13
2.5791945457458496,1987-04-14
2.5280189514160156,1987-04-15
2.435905694961548,1987-04-16
2.548489809036255,1987-04-20
2.4666104316711426,1987-04-21
2.4563753604888916,1987-04-22
2.548489809036255,1987-04-23
2.5689592361450195,1987-04-24
2.476844310760498,1987-04-27
2.5791945457458496,1987-04-28
2.5689592361450195,1987-04-29
2.589428424835205,1987-04-30
2.5587241649627686,1987-05-01
2.6098978519439697,1987-05-04
2.620133638381958,1987-05-05
2.886242151260376,1987-05-06
3.1011738777160645,1987-05-07
3.2444615364074707,1987-05-08
3.183053970336914,1987-05-11
3.172818660736084,1987-05-12
3.162583112716675,1987-05-13
3.213757276535034,1987-05-14
3.500333547592163,1987-05-15
3.449159860610962,1987-05-18
3.479865312576294,1987-05-19
3.316106081008911,1987-05-20
3.2546987533569336,1987-05-21
3.142112970352173,1987-05-22
2.886242151260376,1987-05-26
2.835066080093384,1987-05-27
2.886242151260376,1987-05-28
3.0090596675872803,1987-05-29
2.947650194168091,1987-06-01
3.0295300483703613,1987-06-02
3.0090596675872803,1987-06-03
3.060234308242798,1987-06-04
3.0704691410064697,1987-06-05
2.9681198596954346,1987-06-08
3.0295300483703613,1987-06-09
3.019294500350952,1987-06-10
3.0704691410064697,1987-06-11
3.0397632122039795,1987-06-12
2.998823404312134,1987-06-15
2.876004695892334,1987-06-16
2.835066080093384,1987-06-17
2.7941272258758545,1987-06-18
2.763420820236206,1987-06-19
2.507550001144409,1987-06-22
2.5791945457458496,1987-06-23
2.589428424835205,1987-06-24
2.599663496017456,1987-06-25
2.702012777328491,1987-06-26
2.7531871795654297,1987-06-29
2.824831485748291,1987-06-30
2.896475315093994,1987-07-01
2.906710386276245,1987-07-02
2.916945219039917,1987-07-06
2.886242151260376,1987-07-07
2.978356122970581,1987-07-08
3.0295300483703613,1987-07-09
3.049999952316284,1987-07-10
3.080704927444458,1987-07-13
3.080704927444458,1987-07-14
3.162583112716675,1987-07-15
3.336576223373413,1987-07-16
3.2751662731170654,1987-07-17
3.2546987533569336,1987-07-20
3.2546987533569336,1987-07-21
3.234227418899536,1987-07-22
3.1932880878448486,1987-07-23
3.172818660736084,1987-07-24
3.1114096641540527,1987-07-27
3.172818660736084,1987-07-28
3.316106081008911,1987-07-29
3.45939564704895,1987-07-30
3.6026835441589355,1987-07-31
3.991607904434204,1987-08-03
3.7664406299591064,1987-08-04
3.6845619678497314,1987-08-05
3.6845619678497314,1987-08-06
3.582213878631592,1987-08-07
3.7255024909973145,1987-08-10
3.9302005767822266,1987-08-11
3.950669765472412,1987-08-12
3.9302005767822266,1987-08-13
3.6026835441589355,1987-08-14
3.6231536865234375,1987-08-17
3.664092540740967,1987-08-18
3.7255024909973145,1987-08-19
3.6026835441589355,1987-08-20
3.664092540740967,1987-08-21
3.7459731101989746,1987-08-24
3.7255024909973145,1987-08-25
3.7664406299591064,1987-08-26
3.8073816299438477,1987-08-27
3.7255024909973145,1987-08-28
3.6845619678497314,1987-08-31
3.786911725997925,1987-09-01
3.971139430999756,1987-09-02
4.032549858093262,1987-09-03
4.032549858093262,1987-09-04
3.909731388092041,1987-09-08
3.909731388092041,1987-09-09
3.9302005767822266,1987-09-10
3.8892600536346436,1987-09-11
4.257716178894043,1987-09-14
4.646642208099365,1987-09-15
4.585232734680176,1987-09-16
4.851339340209961,1987-09-17
4.892279624938965,1987-09-18
4.687582969665527,1987-09-21
4.646642208099365,1987-09-22
4.646642208099365,1987-09-23
4.7489914894104,1987-09-24
4.728521823883057,1987-09-25
4.7489914894104,1987-09-28
4.7489914894104,1987-09-29
4.687582969665527,1987-09-30
4.626171112060547,1987-10-01
4.36006498336792,1987-10-02
4.421475887298584,1987-10-05
4.441945552825928,1987-10-06
4.36006498336792,1987-10-07
4.40100622177124,1987-10-08
4.4624152183532715,1987-10-09
4.4624152183532715,1987-10-12
4.298655986785889,1987-10-13
4.155368328094482,1987-10-14
4.053018093109131,1987-10-15
3.991607904434204,1987-10-16
3.234227418899536,1987-10-19
2.497314691543579,1987-10-20
3.049999952316284,1987-10-21
2.8657703399658203,1987-10-22
2.947650194168091,1987-10-23
2.6610727310180664,1987-10-26
2.763420820236206,1987-10-27
2.845301866531372,1987-10-28
2.6815433502197266,1987-10-29
2.8043606281280518,1987-10-30
3.0295300483703613,1987-11-02
2.9885895252227783,1987-11-03
2.9271814823150635,1987-11-04
2.620133638381958,1987-11-05
2.702012777328491,1987-11-06
2.51778507232666,1987-11-09
2.3540263175964355,1987-11-10
2.435905694961548,1987-11-11
2.599663496017456,1987-11-12
2.783891439437866,1987-11-13
2.947650194168091,1987-11-16
2.886242151260376,1987-11-17
2.845301866531372,1987-11-18
2.783891439437866,1987-11-19
2.7429511547088623,1987-11-20
2.9770069122314453,1987-11-23
3.1001925468444824,1987-11-24
3.284970998764038,1987-11-25
3.6340012550354004,1987-11-27
3.531344175338745,1987-11-30
3.613469362258911,1987-12-01
3.5724070072174072,1987-12-02
3.3465662002563477,1987-12-03
3.1823184490203857,1987-12-04
3.243910551071167,1987-12-07
3.428689956665039,1987-12-08
3.449220895767212,1987-12-09
3.531344175338745,1987-12-10
3.675062417984009,1987-12-11
3.757187604904175,1987-12-14
3.5518767833709717,1987-12-15
3.5724070072174072,1987-12-16
3.613469362258911,1987-12-17
3.531344175338745,1987-12-18
3.4902844429016113,1987-12-21
3.469752073287964,1987-12-22
3.4902844429016113,1987-12-23
3.4902844429016113,1987-12-24
3.449220895767212,1987-12-28
3.3876285552978516,1987-12-29
3.3260340690612793,1987-12-30
3.4081578254699707,1987-12-31
3.284970998764038,1988-01-04
3.3260340690612793,1988-01-05
3.4081578254699707,1988-01-06
3.367095708847046,1988-01-07
3.243910551071167,1988-01-08
3.243910551071167,1988-01-11
3.428689956665039,1988-01-12
3.4902844429016113,1988-01-13
3.531344175338745,1988-01-14
3.367095708847046,1988-01-15
3.305504083633423,1988-01-18
3.305504083633423,1988-01-19
3.305504083633423,1988-01-20
3.3465662002563477,1988-01-21
3.223379611968994,1988-01-22
3.1207239627838135,1988-01-25
3.1207239627838135,1988-01-26
3.243910551071167,1988-01-27
3.2028496265411377,1988-01-28
3.038600444793701,1988-01-29
2.9564754962921143,1988-02-01
3.038600444793701,1988-02-02
2.853820562362671,1988-02-03
2.935945987701416,1988-02-04
2.894883155822754,1988-02-05
2.8743507862091064,1988-02-08
2.9154129028320312,1988-02-09
2.9154129028320312,1988-02-10
2.9770069122314453,1988-02-11
3.0796616077423096,1988-02-12
3.3260340690612793,1988-02-16
3.305504083633423,1988-02-17
3.223379611968994,1988-02-18
3.2644431591033936,1988-02-19
3.3465662002563477,1988-02-22
3.284970998764038,1988-02-23
3.141256332397461,1988-02-24
3.1001925468444824,1988-02-25
3.1207239627838135,1988-02-26
3.3260340690612793,1988-02-29
3.3260340690612793,1988-03-01
3.3465662002563477,1988-03-02
3.428689956665039,1988-03-03
3.5929384231567383,1988-03-04
3.675062417984009,1988-03-07
3.6545302867889404,1988-03-08
3.5929384231567383,1988-03-09
3.510814905166626,1988-03-10
3.449220895767212,1988-03-11
3.4081578254699707,1988-03-14
3.4081578254699707,1988-03-15
3.367095708847046,1988-03-16
3.428689956665039,1988-03-17
3.449220895767212,1988-03-18
3.469752073287964,1988-03-21
3.4081578254699707,1988-03-22
3.469752073287964,1988-03-23
3.449220895767212,1988-03-24
3.367095708847046,1988-03-25
3.367095708847046,1988-03-28
3.4081578254699707,1988-03-29
3.449220895767212,1988-03-30
3.4902844429016113,1988-03-31
3.531344175338745,1988-04-04
3.469752073287964,1988-04-05
3.3876285552978516,1988-04-06
3.3876285552978516,1988-04-07
3.428689956665039,1988-04-08
3.428689956665039,1988-04-11
3.4902844429016113,1988-04-12
3.428689956665039,1988-04-13
3.469752073287964,1988-04-14
3.510814905166626,1988-04-15
3.5724070072174072,1988-04-18
3.510814905166626,1988-04-19
3.510814905166626,1988-04-20
3.469752073287964,1988-04-21
3.4081578254699707,1988-04-22
3.3876285552978516,1988-04-25
3.4081578254699707,1988-04-26
3.4081578254699707,1988-04-27
3.3876285552978516,1988-04-28
3.4081578254699707,1988-04-29
3.284970998764038,1988-05-02
3.243910551071167,1988-05-03
3.2028496265411377,1988-05-04
3.1617867946624756,1988-05-05
3.1617867946624756,1988-05-06
3.2028496265411377,1988-05-09
3.243910551071167,1988-05-10
3.141256332397461,1988-05-11
3.1823184490203857,1988-05-12
3.2028496265411377,1988-05-13
3.243910551071167,1988-05-16
3.2644431591033936,1988-05-17
3.1823184490203857,1988-05-18
3.1823184490203857,1988-05-19
3.2028496265411377,1988-05-20
3.3876285552978516,1988-05-23
3.3546993732452393,1988-05-24
3.3135364055633545,1988-05-25
3.3135364055633545,1988-05-26
3.292954444885254,1988-05-27
3.395860195159912,1988-05-31
3.4370224475860596,1988-06-01
3.6016697883605957,1988-06-02
3.6634132862091064,1988-06-03
3.6634132862091064,1988-06-06
3.622251272201538,1988-06-07
3.5605080127716064,1988-06-08
3.6428334712982178,1988-06-09
3.5810916423797607,1988-06-10
3.5810916423797607,1988-06-13
3.6016697883605957,1988-06-14
3.6428334712982178,1988-06-15
3.6428334712982178,1988-06-16
3.6016697883605957,1988-06-17
3.6428334712982178,1988-06-20
3.6428334712982178,1988-06-21
3.6634132862091064,1988-06-22
3.6634132862091064,1988-06-23
3.5810916423797607,1988-06-24
3.5605080127716064,1988-06-27
3.4987661838531494,1988-06-28
3.4370224475860596,1988-06-29
3.3546993732452393,1988-06-30
3.3752806186676025,1988-07-01
3.292954444885254,1988-07-05
3.3341174125671387,1988-07-06
3.3341174125671387,1988-07-07
3.3135364055633545,1988-07-08
3.231214761734009,1988-07-11
