GE,Date
5.1818013191223145,1983-12-27
5.170706272125244,1983-12-28
5.1818013191223145,1983-12-29
5.2039971351623535,1983-12-30
5.115228652954102,1984-01-03
5.148512840270996,1984-01-04
5.1818013191223145,1984-01-05
5.148512840270996,1984-01-06
5.137423038482666,1984-01-09
5.1041364669799805,1984-01-10
5.137423038482666,1984-01-11
5.115228652954102,1984-01-12
5.070844650268555,1984-01-13
5.070844650268555,1984-01-16
5.1041364669799805,1984-01-17
5.037557125091553,1984-01-18
5.048651218414307,1984-01-19
4.970980644226074,1984-01-20
4.970980644226074,1984-01-23
4.893309116363525,1984-01-24
4.7934465408325195,1984-01-25
4.804539680480957,1984-01-26
4.771254062652588,1984-01-27
4.771254062652588,1984-01-30
4.82673454284668,1984-01-31
4.8822150230407715,1984-02-01
4.926599025726318,1984-02-02
4.837827682495117,1984-02-03
4.693582534790039,1984-02-06
4.7823486328125,1984-02-07
4.737967014312744,1984-02-08
4.704681873321533,1984-02-09
4.749062538146973,1984-02-10
4.649197578430176,1984-02-13
4.726870536804199,1984-02-14
4.737967014312744,1984-02-15
4.726870536804199,1984-02-16
4.682485580444336,1984-02-17
4.6048126220703125,1984-02-21
4.615909576416016,1984-02-22
4.615909576416016,1984-02-23
4.771254062652588,1984-02-24
4.704681873321533,1984-02-27
4.627009391784668,1984-02-28
4.615909576416016,1984-02-29
4.649523735046387,1984-03-01
4.683132171630859,1984-03-02
4.638315677642822,1984-03-05
4.615911483764648,1984-03-06
4.49267053604126,1984-03-07
4.436651229858398,1984-03-08
4.425447463989258,1984-03-09
4.537486553192139,1984-03-12
4.6271162033081055,1984-03-13
4.67193078994751,1984-03-14
4.716742992401123,1984-03-15
4.783967018127441,1984-03-16
4.7391510009765625,1984-03-19
4.750356197357178,1984-03-20
4.727948188781738,1984-03-21
4.638315677642822,1984-03-22
4.67193078994751,1984-03-23
4.6607255935668945,1984-03-26
4.705539703369141,1984-03-27
4.896002292633057,1984-03-28
4.94081974029541,1984-03-29
4.9184112548828125,1984-03-30
4.839982032775879,1984-04-02
4.806370735168457,1984-04-03
4.81757926940918,1984-04-04
4.6271162033081055,1984-04-05
4.6271162033081055,1984-04-06
4.615911483764648,1984-04-09
4.638315677642822,1984-04-10
4.638315677642822,1984-04-11
4.795168876647949,1984-04-12
4.783967018127441,1984-04-13
4.929615020751953,1984-04-16
