SYF,Date
16.96909523010254,2020-05-08
16.158002853393555,2020-05-11
15.474501609802246,2020-05-12
14.462919235229492,2020-05-13
15.556523323059082,2020-05-14
15.073514938354492,2020-05-15
16.367612838745117,2020-05-18
16.066871643066406,2020-05-19
16.504314422607422,2020-05-20
16.522537231445312,2020-05-21
16.26736831665039,2020-05-22
17.752843856811523,2020-05-26
19.45704460144043,2020-05-27
19.356800079345703,2020-05-28
18.56393814086914,2020-05-29
19.229209899902344,2020-06-01
20.113208770751953,2020-06-02
21.589574813842773,2020-06-03
22.172828674316406,2020-06-04
23.257322311401367,2020-06-05
24.487625122070312,2020-06-08
23.567174911499023,2020-06-09
22.20928192138672,2020-06-10
20.186115264892578,2020-06-11
21.662479400634766,2020-06-12
22.22751235961914,2020-06-15
22.929241180419922,2020-06-16
22.555591583251953,2020-06-17
22.099924087524414,2020-06-18
21.662479400634766,2020-06-19
21.680707931518555,2020-06-22
21.799179077148438,2020-06-23
20.13143539428711,2020-06-24
20.732919692993164,2020-06-25
19.493497848510742,2020-06-26
20.003849029541016,2020-06-29
20.195232391357422,2020-06-30
19.693994522094727,2020-07-01
19.92182731628418,2020-07-02
20.778484344482422,2020-07-06
19.8580322265625,2020-07-07
20.341041564941406,2020-07-08
19.44793701171875,2020-07-09
20.559762954711914,2020-07-10
20.678241729736328,2020-07-13
20.459518432617188,2020-07-14
21.544010162353516,2020-07-15
21.644254684448242,2020-07-16
21.152132034301758,2020-07-17
20.395723342895508,2020-07-20
20.632667541503906,2020-07-21
20.887845993041992,2020-07-22
21.316173553466797,2020-07-23
21.471097946166992,2020-07-24
21.635141372680664,2020-07-27
21.033658981323242,2020-07-28
21.67159652709961,2020-07-29
21.115676879882812,2020-07-30
20.36121940612793,2020-07-31
20.904062271118164,2020-08-03
20.83965492248535,2020-08-04
21.46530532836914,2020-08-05
21.24449348449707,2020-08-06
21.796533584594727,2020-08-07
22.62459945678711,2020-08-10
23.093839645385742,2020-08-11
22.762609481811523,2020-08-12
22.72580909729004,2020-08-13
22.93742561340332,2020-08-14
22.403779983520508,2020-08-17
22.0633544921875,2020-08-18
22.182964324951172,2020-08-19
22.026554107666016,2020-08-20
21.998952865600586,2020-08-21
23.231849670410156,2020-08-24
22.909818649291992,2020-08-25
22.495786666870117,2020-08-26
23.53546905517578,2020-08-27
23.719484329223633,2020-08-28
22.827014923095703,2020-08-31
22.873018264770508,2020-09-01
22.836214065551758,2020-09-02
23.112239837646484,2020-09-03
24.07831573486328,2020-09-04
23.48946762084961,2020-09-08
23.55387306213379,2020-09-09
23.369857788085938,2020-09-10
23.728687286376953,2020-09-11
24.8051700592041,2020-09-14
24.372737884521484,2020-09-15
25.384822845458984,2020-09-16
25.43082046508789,2020-09-17
25.0535888671875,2020-09-18
23.829893112182617,2020-09-21
23.563072204589844,2020-09-22
23.093839645385742,2020-09-23
22.790210723876953,2020-09-24
23.130640029907227,2020-09-25
23.728687286376953,2020-09-28
23.507869720458984,2020-09-29
24.07831573486328,2020-09-30
24.51995086669922,2020-10-01
25.265209197998047,2020-10-02
26.11167335510254,2020-10-05
25.302013397216797,2020-10-06
26.038068771362305,2020-10-07
26.82013511657715,2020-10-08
26.534912109375,2020-10-09
26.56251335144043,2020-10-12
26.258886337280273,2020-10-13
26.37849998474121,2020-10-14
26.77412986755371,2020-10-15
27.031747817993164,2020-10-16
26.755727767944336,2020-10-19
25.40321922302246,2020-10-20
24.713165283203125,2020-10-21
25.725244522094727,2020-10-22
25.532028198242188,2020-10-23
24.740764617919922,2020-10-26
24.13351821899414,2020-10-27
23.158241271972656,2020-10-28
23.425064086914062,2020-10-29
23.220882415771484,2020-10-30
24.093286514282227,2020-11-02
24.742952346801758,2020-11-03
24.613018035888672,2020-11-04
25.50398826599121,2020-11-05
24.872886657714844,2020-11-06
27.70357322692871,2020-11-09
27.4808292388916,2020-11-10
27.285926818847656,2020-11-11
27.01678466796875,2020-11-12
27.861347198486328,2020-11-13
28.872966766357422,2020-11-16
28.37179946899414,2020-11-17
27.917030334472656,2020-11-18
27.889188766479492,2020-11-19
27.332334518432617,2020-11-20
28.4274845123291,2020-11-23
29.67112922668457,2020-11-24
29.123552322387695,2020-11-25
28.854408264160156,2020-11-27
28.278989791870117,2020-11-30
29.20707893371582,2020-12-01
30.00524139404297,2020-12-02
30.023801803588867,2020-12-03
30.599224090576172,2020-12-04
30.227985382080078,2020-12-07
30.060924530029297,2020-12-08
30.023801803588867,2020-12-09
30.60849952697754,2020-12-10
29.949560165405273,2020-12-11
29.615442276000977,2020-12-14
30.37647819519043,2020-12-15
30.589935302734375,2020-12-16
30.90549087524414,2020-12-17
30.023801803588867,2020-12-18
30.9797420501709,2020-12-21
30.868364334106445,2020-12-22
31.67581558227539,2020-12-23
31.518035888671875,2020-12-24
31.50874900817871,2020-12-28
31.490188598632812,2020-12-29
31.824302673339844,2020-12-30
32.21409606933594,2020-12-31
31.685091018676758,2021-01-04
32.26979064941406,2021-01-05
34.228065490722656,2021-01-06
34.070289611816406,2021-01-07
33.94963455200195,2021-01-08
33.68049240112305,2021-01-11
33.931068420410156,2021-01-12
34.71995544433594,2021-01-13
36.11209487915039,2021-01-14
35.98215103149414,2021-01-15
36.84528350830078,2021-01-19
37.04018783569336,2021-01-20
35.42530059814453,2021-01-21
34.68282699584961,2021-01-22
33.99604034423828,2021-01-25
32.83592987060547,2021-01-26
31.907825469970703,2021-01-27
33.30924987792969,2021-01-28
31.230329513549805,2021-01-29
32.19553756713867,2021-02-01
33.44847106933594,2021-02-02
33.51343536376953,2021-02-03
34.6806640625,2021-02-04
34.82073211669922,2021-02-05
35.17556381225586,2021-02-08
34.661983489990234,2021-02-09
35.37166213989258,2021-02-10
34.81138610839844,2021-02-11
34.68999481201172,2021-02-12
35.39033889770508,2021-02-16
34.98880386352539,2021-02-17
34.22310256958008,2021-02-18
35.55841827392578,2021-02-19
36.24940872192383,2021-02-22
35.93192672729492,2021-02-23
37.55670166015625,2021-02-24
36.4361686706543,2021-02-25
36.11868667602539,2021-02-26
37.351280212402344,2021-03-01
36.940406799316406,2021-03-02
37.46332931518555,2021-03-03
36.33345031738281,2021-03-04
37.44465637207031,2021-03-05
37.948890686035156,2021-03-08
37.510013580322266,2021-03-09
38.85466384887695,2021-03-10
39.83513641357422,2021-03-11
39.87248611450195,2021-03-12
39.98453903198242,2021-03-15
39.40559387207031,2021-03-16
40.283348083496094,2021-03-17
