ETR,Date
18.042604446411133,2002-06-26
17.990745544433594,2002-06-27
18.34079933166504,2002-06-28
18.172258377075195,2002-07-01
18.042604446411133,2002-07-02
17.97777557373047,2002-07-03
18.142005920410156,2002-07-05
18.154966354370117,2002-07-08
17.826515197753906,2002-07-09
16.754779815673828,2002-07-10
17.09185791015625,2002-07-11
16.599201202392578,2002-07-12
17.00541877746582,2002-07-15
16.538698196411133,2002-07-16
16.62944984436035,2002-07-17
16.205934524536133,2002-07-18
15.816995620727539,2002-07-19
15.730560302734375,2002-07-22
14.339008331298828,2002-07-23
15.531761169433594,2002-07-24
15.946640968322754,2002-07-25
15.795374870300293,2002-07-26
15.946640968322754,2002-07-29
17.20853614807129,2002-07-30
17.51537322998047,2002-07-31
17.286331176757812,2002-08-01
17.083219528198242,2002-08-02
17.403005599975586,2002-08-05
17.899980545043945,2002-08-06
18.016674041748047,2002-08-07
18.25004005432129,2002-08-08
17.879812240600586,2002-08-09
18.376346588134766,2002-08-12
17.927730560302734,2002-08-13
18.838045120239258,2002-08-14
18.60285186767578,2002-08-15
18.2805233001709,2002-08-16
18.598491668701172,2002-08-19
18.65947723388672,2002-08-20
19.347658157348633,2002-08-21
18.977436065673828,2002-08-22
18.964357376098633,2002-08-23
19.36943244934082,2002-08-26
18.829334259033203,2002-08-27
18.72045135498047,2002-08-28
18.293598175048828,2002-08-29
18.376346588134766,2002-08-30
18.11066246032715,2002-09-03
18.067106246948242,2002-09-04
17.853679656982422,2002-09-05
17.762210845947266,2002-09-06
17.83625602722168,2002-09-09
17.42247772216797,2002-09-10
17.487812042236328,2002-09-11
17.27874183654785,2002-09-12
17.814481735229492,2002-09-13
17.797060012817383,2002-09-16
17.091445922851562,2002-09-17
17.56185531616211,2002-09-18
17.492168426513672,2002-09-19
17.365848541259766,2002-09-20
17.11322021484375,2002-09-23
16.55135154724121,2002-09-24
16.88237190246582,2002-09-25
17.705598831176758,2002-09-26
17.688167572021484,2002-09-27
18.11937141418457,2002-09-30
18.598491668701172,2002-10-01
18.559284210205078,2002-10-02
