TSCO,Date
11.682247161865234,2005-12-05
11.932638168334961,2005-12-06
11.482352256774902,2005-12-07
11.560205459594727,2005-12-08
11.419227600097656,2005-12-09
11.301393508911133,2005-12-12
11.579142570495605,2005-12-13
11.539163589477539,2005-12-14
11.516016006469727,2005-12-15
11.419227600097656,2005-12-16
11.18355941772461,2005-12-19
11.473933219909668,2005-12-20
11.5097074508667,2005-12-21
11.385562896728516,2005-12-22
11.362414360046387,2005-12-23
11.187769889831543,2005-12-27
11.337165832519531,2005-12-28
11.252998352050781,2005-12-29
11.139374732971191,2005-12-30
11.263519287109375,2006-01-03
11.080459594726562,2006-01-04
11.076251029968262,2006-01-05
11.086771011352539,2006-01-06
11.396082878112793,2006-01-09
11.568621635437012,2006-01-10
11.347685813903809,2006-01-11
11.18355941772461,2006-01-12
11.069934844970703,2006-01-13
10.756418228149414,2006-01-17
10.573357582092285,2006-01-18
10.567047119140625,2006-01-19
10.356630325317383,2006-01-20
10.268257141113281,2006-01-23
10.506023406982422,2006-01-24
10.64279842376709,2006-01-25
10.781668663024902,2006-01-26
10.878461837768555,2006-01-27
10.918440818786621,2006-01-30
10.748003005981445,2006-01-31
10.661733627319336,2006-02-01
13.0267972946167,2006-02-02
13.319276809692383,2006-02-03
13.325590133666992,2006-02-06
13.047840118408203,2006-02-07
12.91107177734375,2006-02-08
12.530217170715332,2006-02-09
12.542842864990234,2006-02-10
12.523906707763672,2006-02-13
12.805866241455078,2006-02-14
12.86478042602539,2006-02-15
12.856366157531738,2006-02-16
12.894237518310547,2006-02-17
12.852153778076172,2006-02-21
13.060465812683105,2006-02-22
13.018383026123047,2006-02-23
13.119383811950684,2006-02-24
13.256149291992188,2006-02-27
13.294025421142578,2006-02-28
13.5591459274292,2006-03-01
13.176192283630371,2006-03-02
13.142526626586914,2006-03-03
13.12779712677002,2006-03-06
12.99312973022461,2006-03-07
12.944740295410156,2006-03-08
13.05836296081543,2006-03-09
13.167777061462402,2006-03-10
12.980508804321289,2006-03-13
13.039421081542969,2006-03-14
13.188817024230957,2006-03-15
13.367674827575684,2006-03-16
13.504441261291504,2006-03-17
13.77166748046875,2006-03-20
13.731687545776367,2006-03-21
13.967354774475098,2006-03-22
14.102019309997559,2006-03-23
14.09360408782959,2006-03-24
14.03258228302002,2006-03-27
13.906330108642578,2006-03-28
13.977874755859375,2006-03-29
