ASML,Date
9.536354064941406,2004-08-04
9.257513046264648,2004-08-05
9.215688705444336,2004-08-06
9.320253372192383,2004-08-09
9.578180313110352,2004-08-10
9.236601829528809,2004-08-11
8.734684944152832,2004-08-12
8.97867202758789,2004-08-13
9.12506103515625,2004-08-16
9.376018524169922,2004-08-17
9.557265281677246,2004-08-18
9.515440940856934,2004-08-19
9.501500129699707,2004-08-20
9.571209907531738,2004-08-23
9.33419418334961,2004-08-24
9.431788444519043,2004-08-25
9.327223777770996,2004-08-26
9.201746940612793,2004-08-27
9.159918785095215,2004-08-30
9.020501136779785,2004-08-31
9.215688705444336,2004-09-01
9.341163635253906,2004-09-02
8.65103816986084,2004-09-03
8.895017623901367,2004-09-07
8.895017623901367,2004-09-08
9.132033348083496,2004-09-09
9.592122077941895,2004-09-10
9.780341148376465,2004-09-13
9.83611011505127,2004-09-14
9.382993698120117,2004-09-15
9.438759803771973,2004-09-16
9.599093437194824,2004-09-17
9.689716339111328,2004-09-20
10.017354011535645,2004-09-21
9.689716339111328,2004-09-22
9.606063842773438,2004-09-23
9.389965057373047,2004-09-24
9.299342155456543,2004-09-27
9.229630470275879,2004-09-28
8.881077766418457,2004-09-29
8.971702575683594,2004-09-30
9.306310653686523,2004-10-01
9.480586051940918,2004-10-04
9.529380798339844,2004-10-05
9.550298690795898,2004-10-06
9.466644287109375,2004-10-07
9.243571281433105,2004-10-08
9.104151725769043,2004-10-11
8.936846733093262,2004-10-12
9.118096351623535,2004-10-13
8.950789451599121,2004-10-14
9.22265911102295,2004-10-15
9.118096351623535,2004-10-18
9.166890144348145,2004-10-19
9.33419418334961,2004-10-20
9.724571228027344,2004-10-21
9.550298690795898,2004-10-22
9.675773620605469,2004-10-25
9.494528770446777,2004-10-26
9.724571228027344,2004-10-27
9.919761657714844,2004-10-28
9.93370246887207,2004-10-29
9.87793254852295,2004-11-01
9.773369789123535,2004-11-02
9.863991737365723,2004-11-03
10.163745880126953,2004-11-04
10.49138355255127,2004-11-05
