EVRG,Date
46.68494415283203,2021-02-22
48.41304016113281,2021-02-23
48.5911865234375,2021-02-24
47.825138092041016,2021-02-25
47.77168273925781,2021-02-26
48.065635681152344,2021-03-01
47.75387191772461,2021-03-02
47.84294891357422,2021-03-03
48.83169174194336,2021-03-04
49.789703369140625,2021-03-05
50.617286682128906,2021-03-08
50.86016082763672,2021-03-09
51.228981018066406,2021-03-10
51.05805587768555,2021-03-11
51.885643005371094,2021-03-12
53.243953704833984,2021-03-15
53.621761322021484,2021-03-16
52.51532745361328,2021-03-17
52.74920654296875,2021-03-18
53.55878829956055,2021-03-19
52.74020767211914,2021-03-22
52.97408676147461,2021-03-23
53.1090202331543,2021-03-24
53.819664001464844,2021-03-25
