BKR,Date
31.26329803466797,2011-08-10
32.42653274536133,2011-08-11
32.95479202270508,2011-08-12
34.454185485839844,2011-08-15
33.290950775146484,2011-08-16
34.0059700012207,2011-08-17
31.097885131835938,2011-08-18
29.25165557861328,2011-08-19
28.360553741455078,2011-08-22
29.790571212768555,2011-08-23
29.897300720214844,2011-08-24
28.952836990356445,2011-08-25
30.196107864379883,2011-08-26
31.370014190673828,2011-08-29
31.759540557861328,2011-08-30
32.60795593261719,2011-08-31
31.924968719482422,2011-09-01
31.09255027770996,2011-09-02
30.713701248168945,2011-09-06
32.2237548828125,2011-09-07
31.540775299072266,2011-09-08
30.302824020385742,2011-09-09
30.788400650024414,2011-09-12
30.820411682128906,2011-09-13
30.948482513427734,2011-09-14
31.80756187438965,2011-09-15
31.562108993530273,2011-09-16
30.804405212402344,2011-09-19
30.879108428955078,2011-09-20
28.990188598632812,2011-09-21
27.2399959564209,2011-09-22
26.471630096435547,2011-09-23
27.149288177490234,2011-09-26
27.496109008789062,2011-09-27
26.01806640625,2011-09-28
25.927358627319336,2011-09-29
24.625383377075195,2011-09-30
23.728944778442383,2011-10-03
24.134471893310547,2011-10-04
26.04474639892578,2011-10-05
26.43959617614746,2011-10-06
26.31688690185547,2011-10-07
27.80026626586914,2011-10-10
28.40323257446289,2011-10-11
28.536624908447266,2011-10-12
28.483261108398438,2011-10-13
30.23879623413086,2011-10-14
28.515283584594727,2011-10-17
29.731884002685547,2011-10-18
28.974180221557617,2011-10-19
28.73406410217285,2011-10-20
29.075565338134766,2011-10-21
30.153425216674805,2011-10-24
29.566469192504883,2011-10-25
30.137413024902344,2011-10-26
32.42653274536133,2011-10-27
32.49056625366211,2011-10-28
30.943138122558594,2011-10-31
28.56864356994629,2011-11-01
29.417057037353516,2011-11-02
30.417606353759766,2011-11-03
30.043071746826172,2011-11-04
30.39084815979004,2011-11-07
31.771289825439453,2011-11-08
29.839746475219727,2011-11-09
30.626277923583984,2011-11-10
31.139925003051758,2011-11-11
30.647682189941406,2011-11-14
30.310592651367188,2011-11-15
30.941951751708984,2011-11-16
29.780885696411133,2011-11-17
28.919466018676758,2011-11-18
28.02057456970215,2011-11-21
27.442731857299805,2011-11-22
26.206758499145508,2011-11-23
26.147907257080078,2011-11-25
27.432016372680664,2011-11-28
27.29826545715332,2011-11-29
29.219099044799805,2011-11-30
29.561519622802734,2011-12-01
28.689382553100586,2011-12-02
29.26724624633789,2011-12-05
28.25065040588379,2011-12-06
27.13775062561035,2011-12-07
26.217466354370117,2011-12-08
26.961179733276367,2011-12-09
26.003448486328125,2011-12-12
25.618213653564453,2011-12-13
24.590911865234375,2011-12-14
23.980955123901367,2011-12-15
24.574859619140625,2011-12-16
24.03980827331543,2011-12-19
25.698467254638672,2011-12-20
26.08905601501465,2011-12-21
26.661548614501953,2011-12-22
