NI,Date
2.5411505699157715,1997-03-11
2.5330326557159424,1997-03-12
2.5005576610565186,1997-03-13
2.5005576610565186,1997-03-14
2.5005576610565186,1997-03-17
2.4843196868896484,1997-03-18
2.492439031600952,1997-03-19
2.4762017726898193,1997-03-20
2.492439031600952,1997-03-21
2.508676290512085,1997-03-24
2.5817441940307617,1997-03-25
2.5736260414123535,1997-03-26
2.5573883056640625,1997-03-27
2.549269437789917,1997-03-31
2.549269437789917,1997-04-01
2.5736260414123535,1997-04-02
2.5655064582824707,1997-04-03
2.5655064582824707,1997-04-04
2.5655064582824707,1997-04-07
2.549269437789917,1997-04-08
2.549269437789917,1997-04-09
2.5655064582824707,1997-04-10
2.549269437789917,1997-04-11
2.549269437789917,1997-04-14
2.5655064582824707,1997-04-15
2.5655064582824707,1997-04-16
2.5573883056640625,1997-04-17
2.5655064582824707,1997-04-18
2.5655064582824707,1997-04-21
2.5573883056640625,1997-04-22
2.549269437789917,1997-04-23
2.5655064582824707,1997-04-24
2.549269437789917,1997-04-25
2.5706229209899902,1997-04-28
2.5952608585357666,1997-04-29
2.5952608585357666,1997-04-30
2.5952608585357666,1997-05-01
2.611687421798706,1997-05-02
2.6527516841888428,1997-05-05
2.685603618621826,1997-05-06
2.644538402557373,1997-05-07
2.644538402557373,1997-05-08
2.660963535308838,1997-05-09
2.6773910522460938,1997-05-12
2.6691770553588867,1997-05-13
2.6773910522460938,1997-05-14
2.6691770553588867,1997-05-15
2.6773910522460938,1997-05-16
2.6691770553588867,1997-05-19
2.6691770553588867,1997-05-20
2.6938159465789795,1997-05-21
2.660963535308838,1997-05-22
2.6691770553588867,1997-05-23
2.660963535308838,1997-05-27
2.6527516841888428,1997-05-28
2.6527516841888428,1997-05-29
2.660963535308838,1997-05-30
2.6773910522460938,1997-06-02
2.6691770553588867,1997-06-03
2.660963535308838,1997-06-04
2.6773910522460938,1997-06-05
2.6773910522460938,1997-06-06
2.6773910522460938,1997-06-09
2.6938159465789795,1997-06-10
2.6938159465789795,1997-06-11
2.726668119430542,1997-06-12
2.743093490600586,1997-06-13
2.743093490600586,1997-06-16
2.743093490600586,1997-06-17
2.767730712890625,1997-06-18
2.767730712890625,1997-06-19
2.7513062953948975,1997-06-20
2.7595183849334717,1997-06-23
2.7471985816955566,1997-06-24
2.726668119430542,1997-06-25
2.7225608825683594,1997-06-26
2.7102413177490234,1997-06-27
2.7143478393554688,1997-06-30
2.730774402618408,1997-07-01
2.738987684249878,1997-07-02
2.755411148071289,1997-07-03
2.767730712890625,1997-07-07
2.755411148071289,1997-07-08
2.7513062953948975,1997-07-09
2.755411148071289,1997-07-10
2.7595183849334717,1997-07-11
2.7513062953948975,1997-07-14
2.7595183849334717,1997-07-15
2.767730712890625,1997-07-16
2.7800517082214355,1997-07-17
2.7636260986328125,1997-07-18
2.738987684249878,1997-07-21
2.755411148071289,1997-07-22
2.734879493713379,1997-07-23
2.7225608825683594,1997-07-24
2.7225608825683594,1997-07-25
2.730774402618408,1997-07-28
2.7565133571624756,1997-07-29
2.781421422958374,1997-07-30
2.798025369644165,1997-07-31
2.7897233963012695,1997-08-01
2.777269124984741,1997-08-04
2.7938754558563232,1997-08-05
2.7855708599090576,1997-08-06
2.768967866897583,1997-08-07
2.72745418548584,1997-08-08
2.7523610591888428,1997-08-11
2.7482097148895264,1997-08-12
2.7482097148895264,1997-08-13
2.744058132171631,1997-08-14
2.7316033840179443,1997-08-15
2.735755443572998,1997-08-18
2.739905595779419,1997-08-19
2.7565133571624756,1997-08-20
2.739905595779419,1997-08-21
2.7233009338378906,1997-08-22
2.760664224624634,1997-08-25
2.7316033840179443,1997-08-26
2.739905595779419,1997-08-27
2.72745418548584,1997-08-28
2.7108476161956787,1997-08-29
2.739905595779419,1997-09-02
2.744058132171631,1997-09-03
2.7565133571624756,1997-09-04
2.7523610591888428,1997-09-05
2.739905595779419,1997-09-08
2.744058132171631,1997-09-09
2.735755443572998,1997-09-10
2.719151496887207,1997-09-11
2.7523610591888428,1997-09-12
2.773118019104004,1997-09-15
2.802177667617798,1997-09-16
2.7938754558563232,1997-09-17
2.806328296661377,1997-09-18
2.798025369644165,1997-09-19
2.7897233963012695,1997-09-22
2.802177667617798,1997-09-23
2.768967866897583,1997-09-24
2.7523610591888428,1997-09-25
2.773118019104004,1997-09-26
2.798025369644165,1997-09-29
2.798025369644165,1997-09-30
2.82293438911438,1997-10-01
2.8395402431488037,1997-10-02
2.851994514465332,1997-10-03
2.8644487857818604,1997-10-06
2.876903772354126,1997-10-07
2.8436920642852783,1997-10-08
2.8187830448150635,1997-10-09
2.835390329360962,1997-10-10
2.835390329360962,1997-10-13
2.8478426933288574,1997-10-14
2.851994514465332,1997-10-15
2.856144905090332,1997-10-16
2.8644487857818604,1997-10-17
2.9308698177337646,1997-10-20
2.951627016067505,1997-10-21
2.9350204467773438,1997-10-22
2.914266347885132,1997-10-23
2.9225680828094482,1997-10-24
2.9225680828094482,1997-10-27
2.8644487857818604,1997-10-28
2.940800666809082,1997-10-29
2.9366064071655273,1997-10-30
2.9491891860961914,1997-10-31
2.970165729522705,1997-11-03
2.9575812816619873,1997-11-04
2.9617748260498047,1997-11-05
2.9449968338012695,1997-11-06
2.932410955429077,1997-11-07
2.953385829925537,1997-11-10
2.9659698009490967,1997-11-11
2.974360704421997,1997-11-12
2.978555679321289,1997-11-13
2.970165729522705,1997-11-14
3.003727674484253,1997-11-17
2.9911422729492188,1997-11-18
3.012117385864258,1997-11-19
3.0624587535858154,1997-11-20
3.049873113632202,1997-11-21
3.04148268699646,1997-11-24
3.1002156734466553,1997-11-25
3.137972116470337,1997-11-26
3.14216685295105,1997-11-28
3.1589481830596924,1997-12-01
3.1211912631988525,1997-12-02
3.125387191772461,1997-12-03
3.1211912631988525,1997-12-04
3.1169958114624023,1997-12-05
3.1169958114624023,1997-12-08
3.0834362506866455,1997-12-09
