CNC,Date
5.764999866485596,2007-11-21
5.852499961853027,2007-11-23
5.849999904632568,2007-11-26
6.002500057220459,2007-11-27
6.172500133514404,2007-11-28
6.232500076293945,2007-11-29
6.25,2007-11-30
6.25,2007-12-03
6.320000171661377,2007-12-04
6.510000228881836,2007-12-05
6.46750020980835,2007-12-06
6.357500076293945,2007-12-07
6.4375,2007-12-10
6.197500228881836,2007-12-11
6.307499885559082,2007-12-12
6.199999809265137,2007-12-13
6.412499904632568,2007-12-14
6.447500228881836,2007-12-17
6.642499923706055,2007-12-18
6.539999961853027,2007-12-19
6.559999942779541,2007-12-20
6.597499847412109,2007-12-21
6.699999809265137,2007-12-24
6.767499923706055,2007-12-26
6.837500095367432,2007-12-27
6.889999866485596,2007-12-28
6.860000133514404,2007-12-31
6.894999980926514,2008-01-02
6.84499979019165,2008-01-03
6.862500190734863,2008-01-04
6.985000133514404,2008-01-07
7.099999904632568,2008-01-08
6.832499980926514,2008-01-09
6.840000152587891,2008-01-10
6.692500114440918,2008-01-11
6.775000095367432,2008-01-14
6.682499885559082,2008-01-15
6.927499771118164,2008-01-16
6.760000228881836,2008-01-17
6.59250020980835,2008-01-18
6.497499942779541,2008-01-22
6.369999885559082,2008-01-23
6.320000171661377,2008-01-24
6.012499809265137,2008-01-25
6.21750020980835,2008-01-28
6.070000171661377,2008-01-29
6.027500152587891,2008-01-30
5.985000133514404,2008-01-31
6.162499904632568,2008-02-01
6.192500114440918,2008-02-04
6.037499904632568,2008-02-05
6.127500057220459,2008-02-06
6.167500019073486,2008-02-07
5.355000019073486,2008-02-08
4.792500019073486,2008-02-11
4.840000152587891,2008-02-12
4.762499809265137,2008-02-13
4.712500095367432,2008-02-14
4.872499942779541,2008-02-15
4.679999828338623,2008-02-19
4.8125,2008-02-20
4.704999923706055,2008-02-21
4.675000190734863,2008-02-22
4.722499847412109,2008-02-25
4.84499979019165,2008-02-26
