MRVL,Date
7.16488790512085,2012-12-14
7.260883808135986,2012-12-17
7.522697448730469,2012-12-18
7.6012420654296875,2012-12-19
7.374337196350098,2012-12-20
7.2783403396606445,2012-12-21
7.1997971534729,2012-12-24
6.458000659942627,2012-12-26
6.231095790863037,2012-12-27
6.2572784423828125,2012-12-28
6.335821628570557,2012-12-31
6.449273586273193,2013-01-02
6.536542892456055,2013-01-03
6.8158087730407715,2013-01-04
6.8332624435424805,2013-01-07
6.903078079223633,2013-01-08
7.13870906829834,2013-01-09
7.400516510009766,2013-01-10
7.522697448730469,2013-01-11
7.627420425415039,2013-01-14
7.557605743408203,2013-01-15
7.618697643280029,2013-01-16
7.583785533905029,2013-01-17
7.575058937072754,2013-01-18
7.749601364135742,2013-01-22
8.124863624572754,2013-01-23
7.950323581695557,2013-01-24
7.993956565856934,2013-01-25
8.220860481262207,2013-01-28
8.247039794921875,2013-01-29
8.089954376220703,2013-01-30
8.072497367858887,2013-01-31
8.299402236938477,2013-02-01
8.098678588867188,2013-02-04
8.255769729614258,2013-02-05
8.29067611694336,2013-02-06
8.098678588867188,2013-02-07
8.255769729614258,2013-02-08
8.334306716918945,2013-02-11
8.247039794921875,2013-02-12
8.194673538208008,2013-02-13
8.308127403259277,2013-02-14
8.159767150878906,2013-02-15
8.098678588867188,2013-02-19
8.063773155212402,2013-02-20
8.264495849609375,2013-02-21
8.631027221679688,2013-02-22
8.596118927001953,2013-02-25
8.761929512023926,2013-02-26
8.971385955810547,2013-02-27
8.814300537109375,2013-02-28
8.962657928466797,2013-03-01
8.997567176818848,2013-03-04
9.049927711486816,2013-03-05
9.128471374511719,2013-03-06
9.049927711486816,2013-03-07
9.32918930053711,2013-03-08
9.32918930053711,2013-03-11
9.285308837890625,2013-03-12
9.390623092651367,2013-03-13
9.522274017333984,2013-03-14
9.390623092651367,2013-03-15
9.232654571533203,2013-03-18
9.057127952575684,2013-03-19
9.17121696472168,2013-03-20
8.899155616760254,2013-03-21
8.96058464050293,2013-03-22
9.022021293640137,2013-03-25
9.206323623657227,2013-03-26
9.223876953125,2013-03-27
9.285308837890625,2013-03-28
9.118561744689941,2013-04-01
8.881599426269531,2013-04-02
8.78506088256836,2013-04-03
