MCK,Date
132.50341796875,2020-01-03
133.89906311035156,2020-01-06
133.5985870361328,2020-01-07
136.2249755859375,2020-01-08
136.9421844482422,2020-01-09
139.37477111816406,2020-01-10
139.21969604492188,2020-01-13
146.02317810058594,2020-01-14
149.2795867919922,2020-01-15
151.44078063964844,2020-01-16
151.50865173339844,2020-01-17
150.48133850097656,2020-01-21
150.9368438720703,2020-01-22
150.32627868652344,2020-01-23
147.91307067871094,2020-01-24
145.98440551757812,2020-01-27
147.42848205566406,2020-01-28
144.73422241210938,2020-01-29
142.6602325439453,2020-01-30
138.2117462158203,2020-01-31
139.4619598388672,2020-02-03
144.6470184326172,2020-02-04
147.45753479003906,2020-02-05
153.43727111816406,2020-02-06
151.4989776611328,2020-02-07
157.13946533203125,2020-02-10
159.572021484375,2020-02-11
162.83810424804688,2020-02-12
162.73150634765625,2020-02-13
162.84780883789062,2020-02-14
162.4601593017578,2020-02-18
162.8284149169922,2020-02-19
165.51296997070312,2020-02-20
165.68743896484375,2020-02-21
160.45394897460938,2020-02-24
155.8892364501953,2020-02-25
154.07688903808594,2020-02-26
143.15451049804688,2020-02-27
135.92388916015625,2020-02-28
146.177001953125,2020-03-02
143.64044189453125,2020-03-03
147.9749298095703,2020-03-04
141.03585815429688,2020-03-05
137.50802612304688,2020-03-06
128.2559356689453,2020-03-09
134.11622619628906,2020-03-10
131.36587524414062,2020-03-11
120.53939819335938,2020-03-12
128.83905029296875,2020-03-13
117.86678314208984,2020-03-16
135.54486083984375,2020-03-17
132.07533264160156,2020-03-18
123.81454467773438,2020-03-19
121.45292663574219,2020-03-20
112.49240112304688,2020-03-23
122.75523376464844,2020-03-24
117.8279037475586,2020-03-25
127.95466613769531,2020-03-26
122.16239166259766,2020-03-27
134.13568115234375,2020-03-30
131.45333862304688,2020-03-31
129.31524658203125,2020-04-01
125.56388092041016,2020-04-02
121.95829772949219,2020-04-03
131.39503479003906,2020-04-06
128.3628387451172,2020-04-07
127.85745239257812,2020-04-08
129.5679473876953,2020-04-09
127.3326644897461,2020-04-13
133.78579711914062,2020-04-14
134.09678649902344,2020-04-15
134.22312927246094,2020-04-16
137.6246337890625,2020-04-17
136.53616333007812,2020-04-20
128.71270751953125,2020-04-21
131.41448974609375,2020-04-22
132.72650146484375,2020-04-23
136.0016632080078,2020-04-24
139.2476043701172,2020-04-27
136.40982055664062,2020-04-28
136.31260681152344,2020-04-29
137.27479553222656,2020-04-30
130.90908813476562,2020-05-01
131.86148071289062,2020-05-04
129.79148864746094,2020-05-05
128.14901733398438,2020-05-06
130.79249572753906,2020-05-07
132.1433563232422,2020-05-08
136.31260681152344,2020-05-11
130.97714233398438,2020-05-12
125.98178100585938,2020-05-13
125.77769470214844,2020-05-14
132.60984802246094,2020-05-15
138.66448974609375,2020-05-18
140.55963134765625,2020-05-19
142.24098205566406,2020-05-20
141.71615600585938,2020-05-21
145.21482849121094,2020-05-22
144.99130249023438,2020-05-26
150.96823120117188,2020-05-27
152.44546508789062,2020-05-28
154.60861206054688,2020-05-29
154.87167358398438,2020-06-01
159.01290893554688,2020-06-02
157.58055114746094,2020-06-03
155.43685913085938,2020-06-04
157.48309326171875,2020-06-05
160.46478271484375,2020-06-08
157.06414794921875,2020-06-09
150.43817138671875,2020-06-10
142.80859375,2020-06-11
144.45530700683594,2020-06-12
147.8365020751953,2020-06-15
152.31878662109375,2020-06-16
150.49664306640625,2020-06-17
149.4929962158203,2020-06-18
152.6890411376953,2020-06-19
150.92538452148438,2020-06-22
149.73660278320312,2020-06-23
146.70620727539062,2020-06-24
147.4175262451172,2020-06-25
144.41635131835938,2020-06-26
147.88525390625,2020-06-29
149.4929962158203,2020-06-30
147.04725646972656,2020-07-01
148.8206329345703,2020-07-02
147.63189697265625,2020-07-06
142.06802368164062,2020-07-07
140.86952209472656,2020-07-08
137.2837371826172,2020-07-09
139.3592071533203,2020-07-10
141.2689971923828,2020-07-13
144.05584716796875,2020-07-14
149.57095336914062,2020-07-15
149.44432067871094,2020-07-16
150.84738159179688,2020-07-17
149.57095336914062,2020-07-20
151.9874725341797,2020-07-21
152.2505645751953,2020-07-22
152.65008544921875,2020-07-23
151.36386108398438,2020-07-24
153.12753295898438,2020-07-27
149.95095825195312,2020-07-28
151.7146453857422,2020-07-29
149.67813110351562,2020-07-30
146.31640625,2020-07-31
155.80712890625,2020-08-03
153.00083923339844,2020-08-04
149.73660278320312,2020-08-05
147.86573791503906,2020-08-06
148.10931396484375,2020-08-07
148.48934936523438,2020-08-10
147.43699645996094,2020-08-11
149.08375549316406,2020-08-12
148.2944793701172,2020-08-13
154.60861206054688,2020-08-14
151.80230712890625,2020-08-17
151.55874633789062,2020-08-18
149.41502380371094,2020-08-19
148.00221252441406,2020-08-20
147.105712890625,2020-08-21
145.82925415039062,2020-08-24
148.10931396484375,2020-08-25
148.18728637695312,2020-08-26
150.3114776611328,2020-08-27
149.93142700195312,2020-08-28
149.92172241210938,2020-08-31
146.77552795410156,2020-09-01
152.66726684570312,2020-09-02
150.7815399169922,2020-09-03
148.93484497070312,2020-09-04
146.4921875,2020-09-08
148.81764221191406,2020-09-09
147.2738494873047,2020-09-10
146.92210388183594,2020-09-11
147.43995666503906,2020-09-14
147.41064453125,2020-09-15
149.24754333496094,2020-09-16
148.0261688232422,2020-09-17
148.64175415039062,2020-09-18
144.83116149902344,2020-09-21
146.17955017089844,2020-09-22
143.71730041503906,2020-09-23
143.199462890625,2020-09-24
145.10475158691406,2020-09-25
146.64852905273438,2020-09-28
143.199462890625,2020-09-29
145.51510620117188,2020-09-30
143.5902862548828,2020-10-01
143.60983276367188,2020-10-02
145.75936889648438,2020-10-05
142.87701416015625,2020-10-06
144.73348999023438,2020-10-07
150.4591064453125,2020-10-08
147.82101440429688,2020-10-09
147.22499084472656,2020-10-12
148.1630096435547,2020-10-13
150.47866821289062,2020-10-14
152.96041870117188,2020-10-15
153.07765197753906,2020-10-16
148.9250946044922,2020-10-19
149.53085327148438,2020-10-20
149.12051391601562,2020-10-21
150.69358825683594,2020-10-22
152.8236083984375,2020-10-23
148.77853393554688,2020-10-26
145.78872680664062,2020-10-27
140.79586791992188,2020-10-28
140.49298095703125,2020-10-29
144.10816955566406,2020-10-30
148.54403686523438,2020-11-02
156.34104919433594,2020-11-03
162.2328338623047,2020-11-04
167.0302276611328,2020-11-05
167.00088500976562,2020-11-06
174.41688537597656,2020-11-09
179.23382568359375,2020-11-10
173.73292541503906,2020-11-11
173.85995483398438,2020-11-12
178.79417419433594,2020-11-13
179.4488067626953,2020-11-16
169.6585235595703,2020-11-17
172.4822540283203,2020-11-18
167.9975128173828,2020-11-19
165.97499084472656,2020-11-20
169.50222778320312,2020-11-23
175.62844848632812,2020-11-24
