COST,Date
9.569402694702148,1991-11-20
9.442933082580566,1991-11-21
9.569402694702148,1991-11-22
9.442933082580566,1991-11-25
9.400777816772461,1991-11-26
9.400777816772461,1991-11-27
9.400777816772461,1991-11-29
9.400777816772461,1991-12-02
9.358622550964355,1991-12-03
9.063528060913086,1991-12-04
8.810592651367188,1991-12-05
8.810592651367188,1991-12-06
8.76843547821045,1991-12-09
8.852751731872559,1991-12-10
8.5155029296875,1991-12-11
8.599814414978027,1991-12-12
8.810592651367188,1991-12-13
8.810592651367188,1991-12-16
8.684127807617188,1991-12-17
8.17824935913086,1991-12-18
7.4194488525390625,1991-12-19
7.7566962242126465,1991-12-20
7.798851013183594,1991-12-23
7.841006278991699,1991-12-24
7.925321102142334,1991-12-26
7.883166790008545,1991-12-27
8.346878051757812,1991-12-30
8.473345756530762,1991-12-31
8.431194305419922,1992-01-02
8.262563705444336,1992-01-03
8.28364372253418,1992-01-06
8.136099815368652,1992-01-07
8.051787376403809,1992-01-08
8.431194305419922,1992-01-09
8.30472183227539,1992-01-10
8.220406532287598,1992-01-13
7.925321102142334,1992-01-14
8.093944549560547,1992-01-15
8.262563705444336,1992-01-16
8.17824935913086,1992-01-17
7.883166790008545,1992-01-20
7.54591178894043,1992-01-21
7.841006278991699,1992-01-22
7.71453857421875,1992-01-23
7.819930553436279,1992-01-24
7.925321102142334,1992-01-27
7.967477798461914,1992-01-28
7.967477798461914,1992-01-29
7.925321102142334,1992-01-30
7.71453857421875,1992-01-31
7.967477798461914,1992-02-03
8.136099815368652,1992-02-04
8.262563705444336,1992-02-05
8.30472183227539,1992-02-06
8.136099815368652,1992-02-07
8.009629249572754,1992-02-10
8.136099815368652,1992-02-11
8.220406532287598,1992-02-12
8.30472183227539,1992-02-13
8.431194305419922,1992-02-14
8.557658195495605,1992-02-18
8.536579132080078,1992-02-19
8.641971588134766,1992-02-20
8.72628116607666,1992-02-21
8.557658195495605,1992-02-24
8.789515495300293,1992-02-25
8.894905090332031,1992-02-26
9.147842407226562,1992-02-27
