C,Date
348.86181640625,2006-06-06
350.19384765625,2006-06-07
350.19384765625,2006-06-08
348.93182373046875,2006-06-09
345.84710693359375,2006-06-12
337.99493408203125,2006-06-13
335.1204528808594,2006-06-14
341.2900390625,2006-06-15
339.0466613769531,2006-06-16
335.26080322265625,2006-06-19
336.5927429199219,2006-06-20
339.11676025390625,2006-06-21
337.71453857421875,2006-06-22
334.6997985839844,2006-06-23
338.62591552734375,2006-06-26
334.8399658203125,2006-06-27
335.4710388183594,2006-06-28
342.5519714355469,2006-06-29
338.2752380371094,2006-06-30
343.3231506347656,2006-07-03
343.60357666015625,2006-07-05
345.4265441894531,2006-07-06
344.0943908691406,2006-07-07
345.917236328125,2006-07-10
347.7399597167969,2006-07-11
342.34173583984375,2006-07-12
335.61114501953125,2006-07-13
333.5780944824219,2006-07-14
325.3052062988281,2006-07-17
326.35687255859375,2006-07-18
331.2644958496094,2006-07-19
330.2829284667969,2006-07-20
329.02099609375,2006-07-21
332.7367248535156,2006-07-24
332.66656494140625,2006-07-25
333.2275695800781,2006-07-26
331.6851501464844,2006-07-27
338.8362121582031,2006-07-28
338.6959533691406,2006-07-31
340.0982360839844,2006-08-01
341.5705261230469,2006-08-02
343.270263671875,2006-08-03
