BDX,Date
20.930768966674805,1998-01-29
20.889402389526367,1998-01-30
21.861474990844727,1998-02-02
21.861474990844727,1998-02-03
21.365100860595703,1998-02-04
20.7446231842041,1998-02-05
21.406465530395508,1998-02-06
21.303058624267578,1998-02-09
21.571929931640625,1998-02-10
21.447818756103516,1998-02-11
21.571929931640625,1998-02-12
21.303058624267578,1998-02-13
21.2823543548584,1998-02-17
21.303058624267578,1998-02-18
20.99281120300293,1998-02-19
21.59259796142578,1998-02-20
21.530559539794922,1998-02-23
21.261686325073242,1998-02-24
21.22031021118164,1998-02-25
21.344417572021484,1998-02-26
21.054868698120117,1998-02-27
20.765302658081055,1998-03-02
20.70325469970703,1998-03-03
20.93792724609375,1998-03-04
20.917203903198242,1998-03-05
21.663497924804688,1998-03-06
21.663497924804688,1998-03-09
21.891538619995117,1998-03-10
22.161033630371094,1998-03-11
22.96953010559082,1998-03-12
23.031719207763672,1998-03-13
23.052444458007812,1998-03-16
23.239030838012695,1998-03-17
23.321950912475586,1998-03-18
23.529253005981445,1998-03-19
23.487794876098633,1998-03-20
23.156095504760742,1998-03-23
23.3634090423584,1998-03-24
23.30122184753418,1998-03-25
23.176828384399414,1998-03-26
22.762210845947266,1998-03-27
22.886611938476562,1998-03-30
22.57564926147461,1998-03-31
22.948801040649414,1998-04-01
23.30122184753418,1998-04-02
23.093914031982422,1998-04-03
22.990264892578125,1998-04-06
23.031719207763672,1998-04-07
23.218292236328125,1998-04-08
23.40487289428711,1998-04-09
23.052444458007812,1998-04-13
22.96953010559082,1998-04-14
23.11463165283203,1998-04-15
22.82440757751465,1998-04-16
22.948801040649414,1998-04-17
23.052444458007812,1998-04-20
22.990264892578125,1998-04-21
23.96459197998047,1998-04-22
24.399930953979492,1998-04-23
24.296297073364258,1998-04-24
23.446334838867188,1998-04-27
22.928058624267578,1998-04-28
23.28047752380371,1998-04-29
23.093914031982422,1998-04-30
23.30122184753418,1998-05-01
23.508514404296875,1998-05-04
23.218292236328125,1998-05-05
22.96953010559082,1998-05-06
22.451265335083008,1998-05-07
22.637832641601562,1998-05-08
22.907331466674805,1998-05-11
23.218292236328125,1998-05-12
23.57071876525879,1998-05-13
23.3634090423584,1998-05-14
22.990264892578125,1998-05-15
22.82440757751465,1998-05-18
23.052444458007812,1998-05-19
23.96459197998047,1998-05-20
23.985322952270508,1998-05-21
23.881668090820312,1998-05-22
23.736555099487305,1998-05-26
23.549989700317383,1998-05-27
