PLD,Date
36.10401153564453,2015-01-28
35.96400833129883,2015-01-29
35.10847091674805,2015-01-30
35.11624526977539,2015-02-02
35.170692443847656,2015-02-03
35.131797790527344,2015-02-04
35.614017486572266,2015-02-05
34.71958541870117,2015-02-06
34.75069046020508,2015-02-09
34.90625,2015-02-10
34.54068374633789,2015-02-11
34.82069396972656,2015-02-12
34.07404708862305,2015-02-13
33.99624252319336,2015-02-17
34.19070053100586,2015-02-18
33.32738494873047,2015-02-19
33.459590911865234,2015-02-20
33.80180740356445,2015-02-23
33.20293426513672,2015-02-24
33.366268157958984,2015-02-25
33.000728607177734,2015-02-26
33.2184944152832,2015-02-27
33.21071243286133,2015-03-02
33.17183303833008,2015-03-03
32.96183395385742,2015-03-04
33.17959976196289,2015-03-05
32.199607849121094,2015-03-06
32.246280670166016,2015-03-09
32.00517272949219,2015-03-10
32.44850158691406,2015-03-11
33.10182571411133,2015-03-12
33.01628112792969,2015-03-13
33.573211669921875,2015-03-16
33.557525634765625,2015-03-17
34.12230682373047,2015-03-18
34.26350021362305,2015-03-19
