HWM,Date
19.861650466918945,2019-04-10
20.148502349853516,2019-04-11
20.484800338745117,2019-04-12
20.326534271240234,2019-04-15
20.45512580871582,2019-04-16
19.703388214111328,2019-04-17
19.82208251953125,2019-04-18
20.059473037719727,2019-04-22
20.45512580871582,2019-04-23
20.870555877685547,2019-04-24
20.415559768676758,2019-04-25
20.45512580871582,2019-04-26
20.47490882873535,2019-04-29
21.24642562866211,2019-04-30
21.226646423339844,2019-05-01
21.691967010498047,2019-05-02
22.186992645263672,2019-05-03
22.167190551757812,2019-05-06
22.068187713623047,2019-05-07
22.167190551757812,2019-05-08
21.87017822265625,2019-05-09
22.25629234313965,2019-05-10
21.295948028564453,2019-05-13
21.64246368408203,2019-05-14
21.790971755981445,2019-05-15
21.89988136291504,2019-05-16
21.74146842956543,2019-05-17
21.790971755981445,2019-05-20
22.157291412353516,2019-05-21
22.147388458251953,2019-05-22
21.988983154296875,2019-05-23
22.02858543395996,2019-05-24
21.919679641723633,2019-05-28
21.810773849487305,2019-05-29
21.78107261657715,2019-05-30
21.682065963745117,2019-05-31
21.89988136291504,2019-06-03
22.325599670410156,2019-06-04
22.75131607055664,2019-06-05
23.04833221435547,2019-06-06
23.30574607849121,2019-06-07
23.058237075805664,2019-06-10
22.781024932861328,2019-06-11
22.434505462646484,2019-06-12
22.959228515625,2019-06-13
22.75131607055664,2019-06-14
22.652311325073242,2019-06-17
23.29584503173828,2019-06-18
23.454252243041992,2019-06-19
23.9096736907959,2019-06-20
24.087888717651367,2019-06-21
24.058183670043945,2019-06-24
24.147287368774414,2019-06-25
24.642314910888672,2019-06-26
25.137332916259766,2019-06-27
25.56305694580078,2019-06-28
25.820470809936523,2019-07-01
25.889774322509766,2019-07-02
25.612558364868164,2019-07-03
25.840274810791016,2019-07-05
25.56305694580078,2019-07-08
25.58285903930664,2019-07-09
25.53335952758789,2019-07-10
25.464054107666016,2019-07-11
25.741268157958984,2019-07-12
25.56305694580078,2019-07-15
25.523454666137695,2019-07-16
25.04823112487793,2019-07-17
24.889820098876953,2019-07-18
24.92943000793457,2019-07-19
24.87992286682129,2019-07-22
24.909624099731445,2019-07-23
25.394746780395508,2019-07-24
25.35515022277832,2019-07-25
25.483856201171875,2019-07-26
24.89972686767578,2019-07-29
24.889820098876953,2019-07-30
24.790821075439453,2019-07-31
24.136869430541992,2019-08-01
23.542362213134766,2019-08-02
23.34419059753418,2019-08-05
24.344942092895508,2019-08-06
24.97907829284668,2019-08-07
25.197065353393555,2019-08-08
24.988985061645508,2019-08-09
24.96916961669922,2019-08-12
25.157426834106445,2019-08-13
24.543107986450195,2019-08-14
24.344942092895508,2019-08-15
24.612468719482422,2019-08-16
24.800729751586914,2019-08-19
24.998897552490234,2019-08-20
24.96916961669922,2019-08-21
24.870086669921875,2019-08-22
24.087324142456055,2019-08-23
24.82054328918457,2019-08-26
24.949357986450195,2019-08-27
25.197065353393555,2019-08-28
25.57358169555664,2019-08-29
25.60331153869629,2019-08-30
25.74202537536621,2019-09-03
25.74202537536621,2019-09-04
25.77175521850586,2019-09-05
25.75193214416504,2019-09-06
26.059093475341797,2019-09-09
26.46533966064453,2019-09-10
26.643692016601562,2019-09-11
26.772497177124023,2019-09-12
26.841861724853516,2019-09-13
26.950849533081055,2019-09-16
26.990482330322266,2019-09-17
27.059839248657227,2019-09-18
26.891399383544922,2019-09-19
26.475244522094727,2019-09-20
26.524789810180664,2019-09-23
26.286989212036133,2019-09-24
26.247352600097656,2019-09-25
26.059093475341797,2019-09-26
25.870834350585938,2019-09-27
25.7618408203125,2019-09-30
25.02861976623535,2019-10-01
23.978330612182617,2019-10-02
24.02787208557129,2019-10-03
24.265670776367188,2019-10-04
24.523290634155273,2019-10-07
24.642196655273438,2019-10-08
25.3555965423584,2019-10-09
25.781658172607422,2019-10-10
26.20772361755371,2019-10-11
26.594148635864258,2019-10-14
27.604808807373047,2019-10-15
27.258010864257812,2019-10-16
27.446269989013672,2019-10-17
26.762590408325195,2019-10-18
26.79231834411621,2019-10-21
26.831951141357422,2019-10-22
26.990482330322266,2019-10-23
27.17874526977539,2019-10-24
27.38681983947754,2019-10-25
27.406639099121094,2019-10-28
27.436363220214844,2019-10-29
27.2778263092041,2019-10-30
27.2183780670166,2019-10-31
28.278575897216797,2019-11-01
28.516380310058594,2019-11-04
29.23969268798828,2019-11-05
29.170331954956055,2019-11-06
28.664663314819336,2019-11-07
28.724151611328125,2019-11-08
29.259571075439453,2019-11-11
29.24965476989746,2019-11-12
29.24965476989746,2019-11-13
29.96354103088379,2019-11-14
30.598112106323242,2019-11-15
30.79641342163086,2019-11-18
30.74683952331543,2019-11-19
30.56836700439453,2019-11-20
30.350231170654297,2019-11-21
30.290740966796875,2019-11-22
30.697263717651367,2019-11-25
31.024463653564453,2019-11-26
30.994720458984375,2019-11-27
30.697263717651367,2019-11-29
30.300661087036133,2019-12-02
30.439472198486328,2019-12-03
30.062692642211914,2019-12-04
30.22134017944336,2019-12-05
30.75675392150879,2019-12-06
30.528709411621094,2019-12-09
30.74683952331543,2019-12-10
30.96497344970703,2019-12-11
31.35166358947754,2019-12-12
31.381410598754883,2019-12-13
31.530136108398438,2019-12-16
31.212846755981445,2019-12-17
30.508878707885742,2019-12-18
30.73692512512207,2019-12-19
31.123615264892578,2019-12-20
31.262428283691406,2019-12-23
31.044292449951172,2019-12-24
30.93522834777832,2019-12-26
30.875734329223633,2019-12-27
30.608028411865234,2019-12-30
30.508878707885742,2019-12-31
31.2723445892334,2020-01-02
31.22276496887207,2020-01-03
30.945140838623047,2020-01-06
31.143442153930664,2020-01-07
30.459300994873047,2020-01-08
29.517362594604492,2020-01-09
28.60516929626465,2020-01-10
29.20008087158203,2020-01-13
29.328975677490234,2020-01-14
28.94228744506836,2020-01-15
29.745410919189453,2020-01-16
29.071176528930664,2020-01-17
29.150503158569336,2020-01-21
28.59525489807129,2020-01-22
29.279401779174805,2020-01-23
28.86296272277832,2020-01-24
30.409725189208984,2020-01-27
31.20293426513672,2020-01-28
30.885650634765625,2020-01-29
30.191593170166016,2020-01-30
29.69583511352539,2020-01-31
29.80490493774414,2020-02-03
30.22134017944336,2020-02-04
30.994720458984375,2020-02-05
31.153461456298828,2020-02-06
31.054243087768555,2020-02-07
31.40149688720703,2020-02-10
31.768592834472656,2020-02-11
32.55239486694336,2020-02-12
32.69129180908203,2020-02-13
33.09807205200195,2020-02-14
32.91948699951172,2020-02-18
33.8025016784668,2020-02-19
33.435401916503906,2020-02-20
33.207210540771484,2020-02-21
32.81034851074219,2020-02-24
31.461029052734375,2020-02-25
31.599929809570312,2020-02-26
30.1414737701416,2020-02-27
29.11956024169922,2020-02-28
29.71484375,2020-03-02
28.563955307006836,2020-03-03
28.931049346923828,2020-03-04
26.53997230529785,2020-03-05
25.74625015258789,2020-03-06
22.859102249145508,2020-03-09
24.109207153320312,2020-03-10
21.936403274536133,2020-03-11
19.723907470703125,2020-03-12
20.35888671875,2020-03-13
17.303068161010742,2020-03-16
17.511423110961914,2020-03-17
15.556888580322266,2020-03-18
15.725553512573242,2020-03-19
13.145967483520508,2020-03-20
11.89586067199707,2020-03-23
15.031048774719238,2020-03-24
16.043039321899414,2020-03-25
17.58087158203125,2020-03-26
16.549036026000977,2020-03-27
16.27123260498047,2020-03-30
15.933903694152832,2020-03-31
13.096359252929688,2020-04-01
12.401857376098633,2020-04-02
12.44154167175293,2020-04-03
12.590363502502441,2020-04-06
12.014918327331543,2020-04-07
12.977301597595215,2020-04-08
13.145967483520508,2020-04-09
12.50107192993164,2020-04-13
12.10421085357666,2020-04-14
11.28072738647461,2020-04-15
10.65567398071289,2020-04-16
11.558528900146484,2020-04-17
11.548608779907227,2020-04-20
10.506852149963379,2020-04-21
10.744967460632324,2020-04-22
10.9136323928833,2020-04-23
10.725126266479492,2020-04-24
11.320413589477539,2020-04-27
11.89586067199707,2020-04-28
13.7809419631958,2020-04-29
12.96738052368164,2020-04-30
12.44154167175293,2020-05-01
11.856173515319824,2020-05-04
12.114133834838867,2020-05-05
11.399785995483398,2020-05-06
11.776802062988281,2020-05-07
12.520914077758789,2020-05-08
11.667664527893066,2020-05-11
11.03269100189209,2020-05-12
10.566380500793457,2020-05-13
11.161669731140137,2020-05-14
10.685439109802246,2020-05-15
12.243112564086914,2020-05-18
11.955390930175781,2020-05-19
12.649893760681152,2020-05-20
12.332405090332031,2020-05-21
12.27287483215332,2020-05-22
12.95745849609375,2020-05-26
13.909921646118164,2020-05-27
13.175731658935547,2020-05-28
12.977301597595215,2020-05-29
13.304710388183594,2020-06-01
13.880156517028809,2020-06-02
15.05089282989502,2020-06-03
15.408065795898438,2020-06-04
17.0252685546875,2020-06-05
17.590791702270508,2020-06-08
16.092647552490234,2020-06-09
14.852462768554688,2020-06-10
12.87808609008789,2020-06-11
13.890079498291016,2020-06-12
14.405996322631836,2020-06-15
15.110420227050781,2020-06-16
14.683797836303711,2020-06-17
14.465524673461914,2020-06-18
13.830549240112305,2020-06-19
14.534975051879883,2020-06-22
14.92191219329834,2020-06-23
14.50521183013916,2020-06-24
15.080655097961426,2020-06-25
15.298930168151855,2020-06-26
16.092647552490234,2020-06-29
15.725553512573242,2020-06-30
15.160028457641602,2020-07-01
