PKG,Date
147.5235137939453,2022-03-25
146.62586975097656,2022-03-28
147.76919555664062,2022-03-29
148.22271728515625,2022-03-30
147.50460815429688,2022-03-31
147.17391967773438,2022-04-01
146.6069793701172,2022-04-04
145.58651733398438,2022-04-05
144.04637145996094,2022-04-06
142.9597625732422,2022-04-07
144.88729858398438,2022-04-08
146.37078857421875,2022-04-11
148.31719970703125,2022-04-12
150.7927703857422,2022-04-13
154.03372192382812,2022-04-14
151.92662048339844,2022-04-18
154.90301513671875,2022-04-19
157.76596069335938,2022-04-20
156.87777709960938,2022-04-21
152.2951202392578,2022-04-22
153.3439483642578,2022-04-25
150.6510772705078,2022-04-26
152.73922729492188,2022-04-27
153.8730926513672,2022-04-28
152.2856903076172,2022-04-29
151.24632263183594,2022-05-02
152.77703857421875,2022-05-03
156.48094177246094,2022-05-04
154.06207275390625,2022-05-05
153.51402282714844,2022-05-06
151.91720581054688,2022-05-09
151.3880615234375,2022-05-10
150.07467651367188,2022-05-11
147.88255310058594,2022-05-12
146.83375549316406,2022-05-13
146.9660186767578,2022-05-16
149.98965454101562,2022-05-17
142.69522094726562,2022-05-18
142.1944122314453,2022-05-19
140.84323120117188,2022-05-20
144.50936889648438,2022-05-23
143.3566131591797,2022-05-24
144.88729858398438,2022-05-25
147.7880859375,2022-05-26
151.08567810058594,2022-05-27
148.61012268066406,2022-05-31
148.7896270751953,2022-06-01
150.8872833251953,2022-06-02
150.3486785888672,2022-06-03
151.973876953125,2022-06-06
153.35340881347656,2022-06-07
150.8211212158203,2022-06-08
147.55186462402344,2022-06-09
143.14874267578125,2022-06-10
135.75035095214844,2022-06-13
140.3350830078125,2022-06-14
140.3350830078125,2022-06-15
134.82579040527344,2022-06-16
133.13865661621094,2022-06-17
132.9766387939453,2022-06-21
130.2029266357422,2022-06-22
129.4403839111328,2022-06-23
134.01559448242188,2022-06-24
135.05453491210938,2022-06-27
132.44285583496094,2022-06-28
132.41424560546875,2022-06-29
131.06076049804688,2022-06-30
132.25222778320312,2022-07-01
130.73667907714844,2022-07-05
131.994873046875,2022-07-06
134.95921325683594,2022-07-07
133.2625732421875,2022-07-08
131.37530517578125,2022-07-11
131.66127014160156,2022-07-12
130.58416748046875,2022-07-13
129.0972442626953,2022-07-14
129.4403839111328,2022-07-15
128.0010986328125,2022-07-18
131.80422973632812,2022-07-19
132.51910400390625,2022-07-20
135.22610473632812,2022-07-21
134.96875,2022-07-22
137.1705780029297,2022-07-25
130.51744079589844,2022-07-26
132.80506896972656,2022-07-27
133.59619140625,2022-07-28
134.02511596679688,2022-07-29
132.3380126953125,2022-08-01
131.64219665527344,2022-08-02
132.6334991455078,2022-08-03
131.28953552246094,2022-08-04
128.8875274658203,2022-08-05
131.50875854492188,2022-08-08
132.43333435058594,2022-08-09
134.5684356689453,2022-08-10
135.40721130371094,2022-08-11
137.18011474609375,2022-08-12
136.60821533203125,2022-08-15
138.93394470214844,2022-08-16
137.72341918945312,2022-08-17
138.3429718017578,2022-08-18
136.46522521972656,2022-08-19
133.83450317382812,2022-08-22
134.52076721191406,2022-08-23
133.4055633544922,2022-08-24
136.8369598388672,2022-08-25
132.43333435058594,2022-08-26
131.41343688964844,2022-08-29
132.6334991455078,2022-08-30
130.50791931152344,2022-08-31
130.0885467529297,2022-09-01
129.73587036132812,2022-09-02
129.80258178710938,2022-09-06
132.68115234375,2022-09-07
132.9766387939453,2022-09-08
133.04335021972656,2022-09-09
135.42626953125,2022-09-12
131.32763671875,2022-09-13
125.88505554199219,2022-09-14
126.46647644042969,2022-09-15
112.54068756103516,2022-09-16
118.28829193115234,2022-09-19
113.81793975830078,2022-09-20
112.56927490234375,2022-09-21
110.45323944091797,2022-09-22
108.63269805908203,2022-09-23
