AM,Date
4.525142192840576,2020-10-28
4.465501308441162,2020-10-29
4.271675109863281,2020-10-30
4.174760341644287,2020-11-02
4.137485980987549,2020-11-03
4.19712495803833,2020-11-04
4.316404342651367,2020-11-05
4.107666969299316,2020-11-06
4.592235565185547,2020-11-09
4.71897029876709,2020-11-10
4.793519020080566,2020-11-11
4.66678524017334,2020-11-12
4.756244659423828,2020-11-13
4.741335868835449,2020-11-16
4.9500732421875,2020-11-17
4.815884113311768,2020-11-18
4.845704555511475,2020-11-19
4.771154880523682,2020-11-20
5.076807498931885,2020-11-23
5.315364360809326,2020-11-24
5.285545349121094,2020-11-25
5.196086406707764,2020-11-27
5.024621963500977,2020-11-30
5.002257823944092,2020-12-01
5.196086406707764,2020-12-02
5.41973352432251,2020-12-03
5.635925769805908,2020-12-04
5.591197490692139,2020-12-07
5.837209224700928,2020-12-08
5.874484539031982,2020-12-09
6.284505844116211,2020-12-10
6.277050018310547,2020-12-11
5.881938457489014,2020-12-14
6.127952575683594,2020-12-15
5.934123516082764,2020-12-16
6.060857772827148,2020-12-17
6.1726813316345215,2020-12-18
6.142861366271973,2020-12-21
6.269595146179199,2020-12-22
6.291959762573242,2020-12-23
6.247230529785156,2020-12-24
5.7328410148620605,2020-12-28
5.725386142730713,2020-12-29
5.7328410148620605,2020-12-30
5.747750759124756,2020-12-31
5.688111305236816,2021-01-04
6.165226936340332,2021-01-05
6.262140274047852,2021-01-06
6.284505844116211,2021-01-07
6.023582935333252,2021-01-08
6.0384931564331055,2021-01-11
6.31432580947876,2021-01-12
6.2248663902282715,2021-01-13
6.359054088592529,2021-01-14
6.3366899490356445,2021-01-15
6.418694972991943,2021-01-19
6.045947551727295,2021-01-20
6.0384931564331055,2021-01-21
6.060857772827148,2021-01-22
6.306869983673096,2021-01-25
6.351600170135498,2021-01-26
6.12049674987793,2021-01-27
6.135406494140625,2021-01-28
6.0384931564331055,2021-01-29
5.9639434814453125,2021-02-01
5.977900505065918,2021-02-02
6.280284881591797,2021-02-03
6.140721797943115,2021-02-04
6.233763217926025,2021-02-05
6.396584987640381,2021-02-08
6.474120140075684,2021-02-09
6.66795539855957,2021-02-10
6.768750190734863,2021-02-11
7.024612903594971,2021-02-12
7.10990047454834,2021-02-16
7.094394683837891,2021-02-17
6.218256950378418,2021-02-18
6.226008892059326,2021-02-19
6.226008892059326,2021-02-22
6.443106651306152,2021-02-23
7.047874450683594,2021-02-24
7.032364845275879,2021-02-25
6.838531017303467,2021-02-26
7.202942371368408,2021-03-01
7.133162498474121,2021-03-02
7.187437534332275,2021-03-03
7.373517036437988,2021-03-04
7.334751129150391,2021-03-05
7.195189952850342,2021-03-08
6.9315714836120605,2021-03-09
7.427792072296143,2021-03-10
7.319244384765625,2021-03-11
6.993599891662598,2021-03-12
6.93932580947876,2021-03-15
6.799764633178711,2021-03-16
6.9315714836120605,2021-03-17
6.613680839538574,2021-03-18
6.88505220413208,2021-03-19
6.861791610717773,2021-03-22
6.62918758392334,2021-03-23
6.691216945648193,2021-03-24
6.877298831939697,2021-03-25
7.148669719696045,2021-03-26
6.947078227996826,2021-03-29
6.838531017303467,2021-03-30
7.001352787017822,2021-03-31
7.071133136749268,2021-04-01
6.978092670440674,2021-04-05
6.9083123207092285,2021-04-06
6.93932580947876,2021-04-07
6.9160661697387695,2021-04-08
6.613680839538574,2021-04-09
6.443106651306152,2021-04-12
6.714475154876709,2021-04-13
6.706723213195801,2021-04-14
6.753243923187256,2021-04-15
6.745489597320557,2021-04-16
6.792011737823486,2021-04-19
6.706723213195801,2021-04-20
6.869544982910156,2021-04-21
6.947078227996826,2021-04-22
6.962586402893066,2021-04-23
7.063381195068359,2021-04-26
7.146852970123291,2021-04-27
7.218400478363037,2021-04-28
6.987857818603516,2021-04-29
6.868610858917236,2021-04-30
6.979908466339111,2021-05-03
7.186601161956787,2021-05-04
7.297900199890137,2021-05-05
7.258151531219482,2021-05-06
7.377397060394287,2021-05-07
7.401247024536133,2021-05-10
7.417146682739258,2021-05-11
7.289949893951416,2021-05-12
7.329699993133545,2021-05-13
7.703339576721191,2021-05-14
7.8861823081970215,2021-05-17
7.941833019256592,2021-05-18
7.870283603668213,2021-05-19
7.949782371520996,2021-05-20
7.933882236480713,2021-05-21
7.758988857269287,2021-05-24
