CBRE,Date
27.549999237060547,2016-07-14
27.5,2016-07-15
28.110000610351562,2016-07-18
27.68000030517578,2016-07-19
28.100000381469727,2016-07-20
28.549999237060547,2016-07-21
28.989999771118164,2016-07-22
29.020000457763672,2016-07-25
29.079999923706055,2016-07-26
28.860000610351562,2016-07-27
28.799999237060547,2016-07-28
28.450000762939453,2016-07-29
28.56999969482422,2016-08-01
28.31999969482422,2016-08-02
28.770000457763672,2016-08-03
28.700000762939453,2016-08-04
29.610000610351562,2016-08-05
29.68000030517578,2016-08-08
29.920000076293945,2016-08-09
29.940000534057617,2016-08-10
29.8700008392334,2016-08-11
29.639999389648438,2016-08-12
29.670000076293945,2016-08-15
29.389999389648438,2016-08-16
29.09000015258789,2016-08-17
28.93000030517578,2016-08-18
28.530000686645508,2016-08-19
29.010000228881836,2016-08-22
29.469999313354492,2016-08-23
29.420000076293945,2016-08-24
29.3700008392334,2016-08-25
29.6299991607666,2016-08-26
29.75,2016-08-29
30.0,2016-08-30
29.889999389648438,2016-08-31
29.889999389648438,2016-09-01
30.170000076293945,2016-09-02
29.770000457763672,2016-09-06
29.889999389648438,2016-09-07
29.329999923706055,2016-09-08
27.8700008392334,2016-09-09
28.530000686645508,2016-09-12
28.030000686645508,2016-09-13
27.65999984741211,2016-09-14
28.280000686645508,2016-09-15
28.25,2016-09-16
28.700000762939453,2016-09-19
28.59000015258789,2016-09-20
28.739999771118164,2016-09-21
29.309999465942383,2016-09-22
29.139999389648438,2016-09-23
28.270000457763672,2016-09-26
28.290000915527344,2016-09-27
28.389999389648438,2016-09-28
27.639999389648438,2016-09-29
27.979999542236328,2016-09-30
27.860000610351562,2016-10-03
27.6200008392334,2016-10-04
27.559999465942383,2016-10-05
27.829999923706055,2016-10-06
27.270000457763672,2016-10-07
27.469999313354492,2016-10-10
27.020000457763672,2016-10-11
27.030000686645508,2016-10-12
26.600000381469727,2016-10-13
26.520000457763672,2016-10-14
26.399999618530273,2016-10-17
26.649999618530273,2016-10-18
27.700000762939453,2016-10-19
27.579999923706055,2016-10-20
27.829999923706055,2016-10-21
28.299999237060547,2016-10-24
27.90999984741211,2016-10-25
27.809999465942383,2016-10-26
26.59000015258789,2016-10-27
25.959999084472656,2016-10-28
25.760000228881836,2016-10-31
25.8700008392334,2016-11-01
25.670000076293945,2016-11-02
26.059999465942383,2016-11-03
26.420000076293945,2016-11-04
27.18000030517578,2016-11-07
27.030000686645508,2016-11-08
27.260000228881836,2016-11-09
27.690000534057617,2016-11-10
27.639999389648438,2016-11-11
28.530000686645508,2016-11-14
28.6299991607666,2016-11-15
27.809999465942383,2016-11-16
28.329999923706055,2016-11-17
28.690000534057617,2016-11-18
28.6299991607666,2016-11-21
29.700000762939453,2016-11-22
29.56999969482422,2016-11-23
29.40999984741211,2016-11-25
29.030000686645508,2016-11-28
29.15999984741211,2016-11-29
29.040000915527344,2016-11-30
29.440000534057617,2016-12-01
30.1200008392334,2016-12-02
30.610000610351562,2016-12-05
31.75,2016-12-06
32.4900016784668,2016-12-07
32.939998626708984,2016-12-08
32.790000915527344,2016-12-09
32.349998474121094,2016-12-12
32.380001068115234,2016-12-13
31.81999969482422,2016-12-14
31.760000228881836,2016-12-15
31.760000228881836,2016-12-16
