CB,Date
22.645479202270508,2002-10-22
21.87912940979004,2002-10-23
21.317138671875,2002-10-24
21.783334732055664,2002-10-25
21.706697463989258,2002-10-28
21.329917907714844,2002-10-29
20.652973175048828,2002-10-30
19.6375675201416,2002-10-31
19.7205867767334,2002-11-01
20.30811882019043,2002-11-04
19.99519157409668,2002-11-05
20.33367156982422,2002-11-06
19.886629104614258,2002-11-07
19.624801635742188,2002-11-08
19.733360290527344,2002-11-11
19.688661575317383,2002-11-12
19.612031936645508,2002-11-13
19.956884384155273,2002-11-14
20.090991973876953,2002-11-15
20.31450843811035,2002-11-18
20.582731246948242,2002-11-19
21.074460983276367,2002-11-20
20.914812088012695,2002-11-21
21.719478607177734,2002-11-22
20.8509464263916,2002-11-25
20.88926887512207,2002-11-26
21.3362979888916,2002-11-27
21.776941299438477,2002-11-29
21.329917907714844,2002-12-02
21.515111923217773,2002-12-03
21.24689292907715,2002-12-04
20.99144744873047,2002-12-05
20.544403076171875,2002-12-06
19.976043701171875,2002-12-09
20.467771530151367,2002-12-10
20.640199661254883,2002-12-11
20.53802490234375,2002-12-12
20.00796890258789,2002-12-13
20.33367156982422,2002-12-16
20.033523559570312,2002-12-17
19.7780704498291,2002-12-18
19.030887603759766,2002-12-19
19.158611297607422,2002-12-20
18.717960357666016,2002-12-23
18.76934051513672,2002-12-24
18.95563316345215,2002-12-26
18.595918655395508,2002-12-27
18.795040130615234,2002-12-30
18.8464298248291,2002-12-31
19.59797477722168,2003-01-02
19.713594436645508,2003-01-03
20.535791397094727,2003-01-06
20.41374969482422,2003-01-07
20.02191925048828,2003-01-08
20.47156524658203,2003-01-09
20.298133850097656,2003-01-10
19.91272735595703,2003-01-13
19.604400634765625,2003-01-14
19.44381332397461,2003-01-15
18.653718948364258,2003-01-16
18.634449005126953,2003-01-17
18.37750816345215,2003-01-21
18.037076950073242,2003-01-22
18.120576858520508,2003-01-23
17.79940414428711,2003-01-24
18.801462173461914,2003-01-27
19.26395606994629,2003-01-28
19.334619522094727,2003-01-29
18.66656494140625,2003-01-30
18.917091369628906,2003-01-31
19.109790802001953,2003-02-03
18.146268844604492,2003-02-04
17.825090408325195,2003-02-05
17.79297637939453,2003-02-06
17.773710250854492,2003-02-07
18.39035987854004,2003-02-10
17.92145347595215,2003-02-11
17.786556243896484,2003-02-12
17.53603744506836,2003-02-13
17.927873611450195,2003-02-14
18.13984489440918,2003-02-18
18.15269660949707,2003-02-19
17.850788116455078,2003-02-20
18.19765281677246,2003-02-21
17.80582618713379,2003-02-24
17.844369888305664,2003-02-25
17.234142303466797,2003-02-26
17.7094669342041,2003-02-27
17.79940414428711,2003-02-28
17.80582618713379,2003-03-03
17.53603744506836,2003-03-04
17.4718074798584,2003-03-05
17.31121826171875,2003-03-06
17.317642211914062,2003-03-07
16.656030654907227,2003-03-10
15.692506790161133,2003-03-11
15.255709648132324,2003-03-12
16.12288475036621,2003-03-13
17.08639144897461,2003-03-14
17.68378448486328,2003-03-17
17.786556243896484,2003-03-18
18.24262809753418,2003-03-19
18.287578582763672,2003-03-20
19.4887752532959,2003-03-21
18.737224578857422,2003-03-24
18.917091369628906,2003-03-25
18.936357498168945,2003-03-26
18.994495391845703,2003-03-27
19.059110641479492,2003-03-28
18.703767776489258,2003-03-31
18.962209701538086,2003-04-01
19.76332664489746,2003-04-02
19.73748207092285,2003-04-03
20.48693084716797,2003-04-04
